,0,1
0,김한민,
1,이병헌,
2,김용화,
3,윤제균,
4,안소니 루소,조 루소
5,류승완,
6,크리스 벅,제니퍼 리
7,최동훈,
8,이환경,
9,최동훈,
10,가이 리치,
11,추창민,
12,김용화,
13,장훈,
14,연상호,
15,양우석,
16,안소니 루소,조 루소
17,조스 웨던,
18,크리스 벅,제니퍼 리
19,크리스토퍼 놀란,
20,봉준호,
21,브라이언 싱어,
22,이일형,
23,이상근,
24,한재림,
25,쉐인 블랙,
26,봉준호,
27,안소니 루소,조 루소
28,황동혁,
29,이석훈,
30,존 왓츠,
31,김성훈,
32,마이클 베이,
33,이석훈,
34,브래드 버드,
35,김지운,
36,김한민,
37,강형철,
38,존 왓츠,
39,장준환,
40,류승완,
41,조의석,
42,김성훈,
43,조스 웨던,
44,우민호,
45,이재한,
46,이계벽,
47,장철수,
48,나홍진,
49,강윤성,
50,조성희,
51,류승완,
52,크리스토퍼 맥쿼리,
53,크리스토퍼 놀란,
54,김병서,이해준
55,이정범,
56,이준익,
57,크리스토퍼 맥쿼리,
58,매튜 본,
59,김학순,
60,크리스토퍼 놀란,
61,톰 후퍼,
62,애너 보든,라이언 플렉
63,후안 안토니오 바요나,
64,김주환,
65,허정,
66,허진호,
67,김병우,
68,콜린 트레보로우,
69,장훈,
70,조의석,김병서
71,페이튼 리드,
72,스콧 데릭슨,
73,장재현,
74,김광식,
75,라이언 쿠글러,
76,한재림,
77,이한,
78,마이클 베이,
79,이재규,
80,토드 필립스,
81,마크 포스터,
82,김지훈,
83,빌 콘돈,
84,이해영,
85,여인영,
86,제임스 완,
87,윤종빈,
88,피트 닥터,
89,매튜 본,
90,김주호,
91,리들리 스콧,
92,타이카 와이티티,
93,마크 웹,
94,진모영,
95,김석윤,
96,원신연,
97,윤종빈,
98,존 파브로,
99,윤종빈,
100,바이론 하워드,리치 무어
101,더그 라이만,
102,박훈정,
103,데이빗 예이츠,
104,황동혁,
105,민규동,
106,손용호,
107,박정우,
108,박정우,
109,존 파브로,
110,양우석,
111,데이빗 예이츠,
112,브라이언 싱어,
113,박찬욱,
114,마크 웹,
115,원신연,
116,이용주,
117,이석훈,
118,장창원,
119,맷 리브스,
120,강형철,
121,여인영,알레산드로 칼로니
122,조 루소,안소니 루소
123,조진규,
124,루벤 플레셔,
125,김석윤,
126,이재규,
127,조지 밀러,
128,황동혁,
129,데이빗 레이치,
130,김태균,
131,최국희,
132,알렉스 커츠먼,
133,김도영,
134,데이빗 레이치,
135,F. 게리 그레이,
136,신카이 마코토,
137,낸시 마이어스,
138,데이미언 셔젤,
139,조정래,
140,숀 레비,
141,조범구,
142,리 언크리치,
143,정지영,
144,김성훈,
145,존 카니,
146,이승준,
