영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,로그 전국스크린수,로그 전국매출액,로그 전국관객수,로그 서울매출액,로그 서울관객수,로그 수정전국매출액,로그 개봉일관객수,로그 개봉일매출액,로그 개봉일매출비율,로그 배우가중치,로그 감독가중치,타겟
명량,2014-07-30,1.0,기타,1,0.0,1.0,1,7.369600720526409,,16.44988493967515,24.077765281619623,15.031857584826167,7.017472528756234,13.433812268177526,22.27271571240095,4.120661870539474,3.295836866004329,0.6931471805599453,0
극한직업,2019-01-23,1.0,코미디,1,0.0,1.0,1,7.589841512182657,,16.44988493967515,24.077765281619623,15.031857584826167,7.017472528756234,12.817418489601703,21.823464529942832,4.293195420967266,3.044522437723423,1.0986122886681098,1
신과함께-죄와 벌,2017-12-20,1.0,기타,2,0.0,1.0,1,7.555905093611346,,16.44988493967515,24.0385721261204,15.023327563870016,7.017472528756234,12.915007049490448,21.816581054204043,4.146304301152812,3.295836866004329,1.0986122886681098,0
국제시장,2014-12-17,1.0,드라마,2,0.0,1.0,1,6.873163834212518,,16.44988493967515,23.97528700839928,14.989213621391658,7.0105646749696175,12.126791314602455,21.028446266254157,3.4339872044851463,3.295836866004329,0.0,0
어벤져스: 엔드게임,2019-04-24,0.0,액션,2,1.0,0.0,1,7.669495251007694,,16.44988493967515,24.077765281619623,15.031857584826167,7.017472528756234,13.787276707586223,22.6590204642412,4.493120682179469,3.091042453358316,1.0986122886681098,0
베테랑,2015-08-05,1.0,액션,1,0.0,1.0,1,6.96979066990159,,16.410421922403753,24.01041208386447,15.006509362754763,6.956781189170816,12.934150098451186,21.864042322977408,3.572345637857985,3.295836866004329,1.0986122886681098,1
겨울왕국 2,2019-11-21,0.0,애니메이션,3,1.0,0.0,1,7.669495251007694,,16.408453939148057,24.04932606174385,14.951282462824896,7.017472528756234,13.31565454738687,22.32133078165922,4.404277243608702,1.791759469228055,0.6931471805599453,0
도둑들,2012-07-25,1.0,액션,1,0.0,1.0,1,6.977281341630747,,16.37917678487348,23.984795954251304,15.031857584826167,6.842315749391664,12.986763561351935,21.828109503522164,4.050044303325521,3.295836866004329,0.6931471805599453,0
7번방의 선물,2013-01-23,1.0,코미디,1,0.0,1.0,1,6.668228248417403,43.59694370613962,16.3658308146406,23.850067234791247,14.937205383258009,6.81817968632703,11.93693751036497,20.78763403107916,3.4965075614664802,2.8903717578961645,0.6931471805599453,1
암살,2015-07-22,1.0,액션,1,0.0,1.0,1,7.325807502595773,,16.357561269637383,23.954333090659343,14.964803286596354,6.892267284622109,13.076405299091176,22.00228437715961,4.21803603456465,3.258096538021482,0.6931471805599453,1
알라딘,2019-05-23,0.0,기타,3,1.0,0.0,1,7.1785454837637,,16.34541311934862,24.077765281619623,15.031857584826167,6.974994571865789,11.19459172665227,20.23980317590932,3.2268439945173775,1.9459101490553132,1.0986122886681098,0
"광해, 왕이 된 남자",2012-09-13,1.0,기타,1,0.0,1.0,1,6.697034247666484,43.59694370613962,16.326697340053954,23.94982426398693,15.026170950440026,6.7900995838688525,12.040702596627924,20.88224242475363,3.8480176754522337,3.295836866004329,1.0986122886681098,1
신과함께-인과 연,2018-08-01,1.0,기타,2,0.0,1.0,1,7.669495251007694,,16.32130152105698,23.854645153014847,14.784978768036284,6.932221220118622,13.787276707586223,22.6590204642412,4.241326752570746,3.1780538303479458,1.0986122886681098,0
택시운전사,2017-08-02,1.0,드라마,1,0.0,1.0,1,7.552762084214147,,16.308713613869884,23.822768591678127,14.819787258426015,6.85945483889279,13.456100448296356,22.35570804976868,3.977810745966149,2.6390573296152584,1.0986122886681098,0
부산행,2016-07-20,1.0,액션,1,0.0,1.0,1,7.488852955733459,,16.26350059811261,23.85966517565007,14.828814019481904,6.837073951226255,13.679316194205972,22.60462527431366,4.411585436915426,2.4849066497880004,0.6931471805599453,0
변호인,2013-12-18,1.0,드라마,1,0.0,1.0,1,6.827629234502852,43.56105772174003,16.246704409777752,23.83997289155837,14.906993493078598,6.719696233835295,11.694821931426086,20.558995963676168,3.3568971227655755,3.2188758248682006,0.6931471805599453,0
어벤져스: 인피니티 워,2018-04-25,0.0,액션,2,1.0,0.0,1,7.669495251007694,,16.232484488391133,24.077765281619623,14.917058200928217,6.906945018499753,13.787276707586223,22.6590204642412,4.493120682179469,2.9444389791664403,1.0986122886681098,0
어벤져스: 에이지 오브 울트론,2015-04-23,0.0,액션,2,1.0,0.0,1,7.519149957669823,43.59694370613962,16.166361773079796,23.94221790954768,14.853448140228403,6.786520389143673,13.34096060985447,22.3793609165188,4.493120682179469,3.2188758248682006,0.6931471805599453,1
겨울왕국,2014-01-16,0.0,애니메이션,3,1.0,0.0,1,6.917705609835305,43.5562781520082,16.147275837844795,23.975469797785593,14.915270854086257,6.71491666410347,11.986622266053581,20.88066138933291,3.632309102625542,1.791759469228055,0.6931471805599453,1
인터스텔라,2014-11-06,0.0,기타,2,1.0,0.0,1,7.201916317531627,43.55400574685892,16.14510781520998,23.961957998820736,14.940127118946112,6.71264425895419,12.33281542255803,21.303319176621244,4.213607983048918,2.772588722239781,1.0986122886681098,1
기생충,2019-05-30,1.0,드라마,1,0.0,1.0,1,7.5745584842024805,43.59694370613962,16.12658699721881,23.877862047531103,14.806112527046697,6.755582218234891,13.250038656418253,22.24480991040854,4.3267781604434035,3.1780538303479458,0.6931471805599453,0
보헤미안 랩소디,2018-10-31,0.0,드라마,2,1.0,0.0,1,6.841615476477592,43.59694370613962,16.112920884921863,24.050091395572338,14.946052945159618,6.76019422396658,11.61256263347843,20.449080209686656,2.9444389791664403,-0.916290731874155,-0.916290731874155,0
검사외전,2016-02-03,1.0,범죄,1,0.0,1.0,1,7.502186486602924,43.49102916288848,16.08754283084466,23.630304901696903,14.612831700505577,6.64966767498375,13.17434843247028,22.098061541174772,4.429625613473161,1.252762968495368,-2.3025850929940455,0
엑시트,2019-07-31,1.0,코미디,2,0.0,1.0,1,7.414572881350589,43.51632699201943,16.05898355345007,23.642848405150364,14.572978579721232,6.674965504114697,13.102152506788183,21.877669467103402,3.6000482404073204,0.0,-2.3025850929940455,0
관상,2013-09-11,1.0,기타,1,0.0,1.0,1,7.081708586105575,43.33368391799898,16.02757842657021,23.6839499879704,14.7561988345103,6.492322430094252,12.83081249742522,21.637983331932137,4.35799005684564,0.9932517730102834,-1.6094379124341003,1
아이언맨 3,2013-04-25,0.0,액션,2,1.0,0.0,1,7.2305631534092925,43.403893021278314,16.01288056916892,23.79914552807628,14.769200730096028,6.562531533373584,12.953954193190171,21.93969716062292,4.441474093317302,0.3364722366212129,-2.3025850929940455,1
설국열차,2013-08-01,1.0,기타,1,0.0,1.0,1,7.028201432058005,43.30308713111101,16.00322842270086,23.66643379818536,14.75177527500103,6.461725643206282,13.306398465265024,22.146536567640556,3.8897773964808264,0.7419373447293773,-1.6094379124341003,0
캡틴 아메리카: 시빌 워,2016-04-27,0.0,액션,2,1.0,0.0,1,7.596392304064196,43.42990428561147,15.976215100917997,23.77953431189022,14.691008044904901,6.588542797706741,13.497986269779807,22.322443896630382,4.493120682179469,0.8329091229351039,-1.2039728043259361,0
수상한 그녀,2014-01-22,1.0,드라마,1,0.0,1.0,1,6.539585955617669,43.28225442660668,15.973809143157153,23.454955090896693,14.529494145012,6.440892938701945,11.869501404008137,20.701804685058356,3.077312260546414,0.26236426446749106,-1.2039728043259361,1
해적: 바다로 간 산적,2014-08-06,1.0,기타,2,0.0,1.0,1,6.731018100482083,43.337240627554706,15.972695010965992,23.42505279858285,14.440750349116943,6.495879139649973,12.518855783729343,21.427052516769006,3.152736022363656,0.8754687373538999,-1.2039728043259361,0
스파이더맨: 파 프롬 홈,2019-07-02,0.0,액션,2,1.0,0.0,1,7.669495251007694,43.37806339124003,15.897474914668482,23.641853122047003,14.533933595628584,6.536701903335302,13.421612789477328,22.449338620370263,4.3694478524670215,0.4054651081081644,-1.6094379124341003,0
공조,2017-01-18,1.0,액션,1,0.0,1.0,1,6.883462586413092,43.29941338739292,15.871868460711127,23.409261867899108,14.3720496176217,6.458051899488183,11.930615542700961,20.858784091951993,3.169685580677429,0.6931471805599453,-0.916290731874155,1
트랜스포머 3,2011-06-29,0.0,액션,2,0.0,1.0,1,7.25063551189868,43.45931712730487,15.867684571677673,23.802705924228885,14.577725673860476,6.617955639400137,13.208531899291371,22.42699604768282,4.493120682179469,-0.35667494393873245,-1.2039728043259361,1
히말라야,2015-12-16,1.0,드라마,2,0.0,1.0,1,6.9167150203536085,43.24118001655489,15.864424977482118,23.35663228488277,14.368254790748988,6.399818528650158,12.22181311184218,21.124355453202924,3.8110970868381857,0.8329091229351039,-1.2039728043259361,0
미션임파서블:고스트프로토콜,2011-12-15,0.0,액션,1,0.0,1.0,1,6.945051063725834,43.20086348548233,15.840482582185796,23.652820032690716,14.668718348829922,6.359501997577602,12.486424165012052,21.37772546219917,4.178992036282385,0.3364722366212129,-1.2039728043259361,1
밀정,2016-09-07,1.0,액션,1,1.0,0.0,1,7.275172319452771,43.25741780394764,15.828751531404476,23.459987587315428,14.418417882874008,6.416056316042907,12.56803160444028,21.480086868049032,4.310799125385514,0.7884573603642703,-1.2039728043259361,0
최종병기 활,2011-08-10,1.0,기타,1,0.0,1.0,1,6.421622267806518,43.16587915632957,15.826000655870448,23.50453806072212,14.538142266162813,6.324517668424833,11.850304433243165,20.728729881827107,3.407841924380824,1.0986122886681098,-1.6094379124341003,0
써니,2011-05-04,1.0,드라마,1,0.0,1.0,1,6.156978985585555,43.12872123594809,15.807325078639133,23.45775701404351,14.511066834321241,6.28735974804336,10.922641684869495,19.802439836270494,2.91235066461494,-0.10536051565782628,-1.2039728043259361,0
