전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
1587,-4871904182709551616,13934592,28631269069.0,3374837,1115.9624872,682701.0,4708879000.0,61.6,27.0,2.0,명량,2014-07-30,1.0,기타,1,0.0,1.0,1,0
1978,-4481946122109551616,13934592,28631269069.0,3374837,1115.9624872,368582.0,3004762990.0,73.2,21.0,3.0,극한직업,2019-01-23,1.0,코미디,1,0.0,1.0,1,1
1912,-6876878660009551616,13934592,27530825087.0,3346172,1115.9624872,406365.0,2984150800.0,63.2,27.0,3.0,신과함께-죄와 벌,2017-12-20,1.0,기타,2,0.0,1.0,1,0
966,-7363942610709551616,13934592,25842519330.0,3233946,1108.2801463,184756.0,1356869800.0,31.0,27.0,1.0,국제시장,2014-12-17,1.0,드라마,2,0.0,1.0,1,0
2142,-6228474657709551616,13934592,28631269069.0,3374837,1115.9624872,972161.0,6929271100.0,89.4,22.0,3.0,어벤져스: 엔드게임,2019-04-24,0.0,액션,2,1.0,0.0,1,0
1064,-7944268448709551616,13395400,26766369950.0,3290366,1050.2475625,414219.0,3129197200.0,35.6,27.0,3.0,베테랑,2015-08-05,1.0,액션,1,0.0,1.0,1,1
2142,-7287119201709551616,13369064,27828487460.0,3113576,1115.9624872,606618.0,4943457300.0,81.8,6.0,2.0,겨울왕국 2,2019-11-21,0.0,애니메이션,3,1.0,0.0,1,0
1072,-8454843396809551616,12983330,26089426500.0,3374837,936.655685,436596.0,3018752500.0,57.4,27.0,2.0,도둑들,2012-07-25,1.0,액션,1,0.0,1.0,1,0
787,8588396364500000000,12811206,22800931670.0,3070053,914.3191467,152808.0,1066485000.0,33.0,18.0,2.0,7번방의 선물,2013-01-23,1.0,코미디,1,0.0,1.0,1,1
1519,-8454843396809551616,12705700,25306651181.0,3155960,984.63132781,477541.0,3593111500.0,67.9,26.0,2.0,암살,2015-07-22,1.0,액션,1,0.0,1.0,1,1
1311,-7751230237809551616,12552283,28631269069.0,3374837,1069.55138359,72736.0,616644460.0,25.2,7.0,3.0,알라딘,2019-05-23,0.0,기타,3,1.0,0.0,1,0
810,8588396364500000000,12319542,25192804727.0,3355700,889.00208769,169516.0,1172310500.0,46.9,27.0,3.0,"광해, 왕이 된 남자",2012-09-13,1.0,기타,1,0.0,1.0,1,1
2142,-8199067192809551616,12253247,22905551759.0,2636542,1024.76768809,972161.0,6929271100.0,69.5,24.0,3.0,신과함께-인과 연,2018-08-01,1.0,기타,2,0.0,1.0,1,0
1906,-8454843396809551616,12099971,22186916199.0,2729932,952.84747049,698088.0,5116354700.0,53.4,14.0,3.0,택시운전사,2017-08-02,1.0,드라마,1,0.0,1.0,1,0
1788,-8454843396809551616,11565078,23020827248.0,2754686,931.75877048,872673.0,6562420000.0,82.4,12.0,2.0,부산행,2016-07-20,1.0,액션,1,0.0,1.0,1,0
923,8285657830000000000,11372451,22571929000.0,2978688,828.565783,119949.0,848513000.0,28.7,25.0,2.0,변호인,2013-12-18,1.0,드라마,1,0.0,1.0,1,0
2142,-8454843396809551616,11211880,28631269069.0,3008819,999.19006769,972161.0,6929271100.0,89.4,19.0,3.0,어벤져스: 인피니티 워,2018-04-25,0.0,액션,2,1.0,0.0,1,0
1843,8588396364500000000,10494499,25001906266.0,2823388,885.82586366,622165.0,5238813700.0,89.4,25.0,2.0,어벤져스: 에이지 오브 울트론,2015-04-23,0.0,액션,2,1.0,0.0,1,1
1010,8246150440000000000,10296101,25847243500.0,3003446,824.615044,160592.0,1170458500.0,37.8,6.0,2.0,겨울왕국,2014-01-16,0.0,애니메이션,3,1.0,0.0,1,1
1342,8227433120000000000,10273803,25500349600.0,3079036,822.743312,227025.0,1786133700.0,67.6,16.0,3.0,인터스텔라,2014-11-06,0.0,기타,2,1.0,0.0,1,1
1948,8588396364500000000,10085275,23443568915.0,2692855,858.83963645,568092.0,4579290500.0,75.7,24.0,2.0,기생충,2019-05-30,1.0,드라마,1,0.0,1.0,1,0
936,8588396364500000000,9948386,27849793695.0,3097336,862.80975785,110477.0,760190950.0,19.0,0.4,0.4,보헤미안 랩소디,2018-10-31,0.0,드라마,2,1.0,0.0,1,0
1812,7725275526400000000,9699092,18302525664.0,2219587,772.52755264,526680.0,3954268800.0,83.9,3.5,0.1,검사외전,2016-02-03,1.0,범죄,1,0.0,1.0,1,0
1660,7923201216200000000,9426011,18533549352.0,2132869,792.32012162,489996.0,3172131090.0,36.6,1.0,0.1,엑시트,2019-07-31,1.0,코미디,2,0.0,1.0,1,0
1190,6600545150000000000,9134586,19311179000.0,2561744,660.054515,373552.0,2496070000.0,78.1,2.7,0.2,관상,2013-09-11,1.0,기타,1,0.0,1.0,1,1
1381,7080619100000000000,9001309,21668935500.0,2595269,708.06191,422504.0,3375121500.0,84.9,1.4,0.1,아이언맨 3,2013-04-25,0.0,액션,2,1.0,0.0,1,1
1128,6401648000000000000,8914845,18975866000.0,2550437,640.1648,601029.0,4150674000.0,48.9,2.1,0.2,설국열차,2013-08-01,1.0,기타,1,0.0,1.0,1,0
1991,7267211182700000000,8677249,21248121149.0,2400069,726.72111827,727949.0,4948963000.0,89.4,2.3,0.3,캡틴 아메리카: 시빌 워,2016-04-27,0.0,액션,2,1.0,0.0,1,0
692,6269663924900000000,8656397,15358810049.0,2042110,626.96639249,142843.0,978767500.0,21.7,1.3,0.3,수상한 그녀,2014-01-22,1.0,드라마,1,0.0,1.0,1,1
838,6624063170600000000,8646758,14906345006.0,1868694,662.40631706,273445.0,2021392600.0,23.4,2.4,0.3,해적: 바다로 간 산적,2014-08-06,1.0,기타,2,0.0,1.0,1,0
2142,6900071110000000000,8020208,18515112400.0,2051196,690.007111,674423.0,5618545280.0,79.0,1.5,0.2,스파이더맨: 파 프롬 홈,2019-07-02,0.0,액션,2,1.0,0.0,1,0
976,6378173132600000000,7817446,14672808676.0,1744624,637.81731326,151845.0,1145130100.0,23.8,2.0,0.4,공조,2017-01-18,1.0,액션,1,0.0,1.0,1,1
1409,7484135050000000000,7784807,21746223000.0,2143018,748.413505,544995.0,5494404500.0,89.4,0.7,0.3,트랜스포머 3,2011-06-29,0.0,액션,2,0.0,1.0,1,1
1009,6017358301500000000,7759473,13920553930.0,1738016,601.73583015,203173.0,1493451100.0,45.2,2.3,0.3,히말라야,2015-12-16,1.0,드라마,2,0.0,1.0,1,0
1038,5779584600000000000,7575899,18719283500.0,2347164,577.95846,264719.0,1924102500.0,65.3,1.4,0.3,미션임파서블:고스트프로토콜,2011-12-15,0.0,액션,1,0.0,1.0,1,1
1444,6115864483100000000,7487545,15436298021.0,1827424,611.58644831,287228.0,2131489500.0,74.5,2.2,0.3,밀정,2016-09-07,1.0,액션,1,1.0,0.0,1,0
615,5580885650000000000,7466976,16139541000.0,2059847,558.088565,140127.0,1005479000.0,30.2,3.0,0.2,최종병기 활,2011-08-10,1.0,기타,1,0.0,1.0,1,0
472,5377317060000000000,7328820,15401904600.0,2004824,537.731706,55417.0,398190000.0,18.4,0.9,0.3,써니,2011-05-04,1.0,드라마,1,0.0,1.0,1,0
1965,5912017382000000000,7257973,16753103620.0,1969107,591.2017382,545302.0,4247740050.0,84.8,1.2,0.2,스파이더맨: 홈 커밍,2017-07-05,0.0,액션,2,1.0,0.0,1,0
1299,5816558114500000000,7231638,14638920495.0,1776877,581.65581145,331736.0,1973650400.0,32.3,3.1,0.2,1987,2017-12-27,1.0,드라마,1,0.0,1.0,1,1
