,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
0,명량,2014-07-30,1.0,1587,135748398910,17613682,33121225810.0,4163666,사극,1,1,2014,20.1,0.0,1.0,1,682701.0,4708879000.0,61.6,0,20129370
1,극한직업,2019-01-23,1.0,1978,139647979516,16264944,31858660536.0,3638287,코미디,1,1,2019,29.0,0.0,1.0,1,368582.0,3004762990.0,73.2,1,20182530
2,신과함께-죄와 벌,2017-12-20,1.0,1912,115698654137,14410754,27530825087.0,3346172,판타지,2,1,2017,26.3,0.0,1.0,1,406365.0,2984150800.0,63.2,0,20150976
3,국제시장,2014-12-17,1.0,966,110828014630,14245998,25842519330.0,3233946,드라마,2,1,2014,20.1,0.0,1.0,1,184756.0,1356869800.0,31.0,0,20137048
4,어벤져스: 엔드게임,2019-04-24,0.0,2835,122182694160,13934592,33577136860.0,3597963,액션,2,1,2019,29.0,1.0,0.0,1,1338729.0,9678989600.0,97.1,0,20184889
5,베테랑,2015-08-05,1.0,1064,105024756250,13395400,26766369950.0,3290366,액션,1,1,2015,19.9,0.0,1.0,1,414219.0,3129197200.0,35.6,1,20148048
6,겨울왕국 2,2019-11-21,0.0,2648,111596248720,13369064,27828487460.0,3113576,애니메이션,3,1,2019,29.0,1.0,0.0,1,606618.0,4943457300.0,81.8,0,20197803
7,도둑들,2012-07-25,1.0,1072,93665568500,12983330,26089426500.0,3468906,액션,1,1,2012,20.3,0.0,1.0,1,436596.0,3018752500.0,57.4,1,20124034
8,7번방의 선물,2013-01-23,1.0,787,91431914670,12811206,22800931670.0,3070053,코미디,1,1,2013,21.4,0.0,1.0,1,152808.0,1066485000.0,33.0,1,20127593
9,암살,2015-07-22,1.0,1519,98463132781,12705700,25306651181.0,3155960,액션,1,1,2015,19.9,0.0,1.0,1,477541.0,3593111500.0,67.9,0,20148851
10,알라딘,2019-05-23,0.0,1311,106955138359,12552283,30198375039.0,3374837,어드벤처,3,1,2019,29.0,1.0,0.0,1,72736.0,616644460.0,25.2,1,20183867
11,"광해, 왕이 된 남자",2012-09-13,1.0,810,88900208769,12319542,25192804727.0,3355700,사극,1,1,2012,20.3,0.0,1.0,1,169516.0,1172310500.0,46.9,1,20124079
12,신과함께-인과 연,2018-08-01,1.0,2235,102476768809,12253247,22905551759.0,2636542,판타지,2,1,2018,26.8,0.0,1.0,1,1246603.0,9684810000.0,69.5,0,20186202
13,택시운전사,2017-08-02,1.0,1906,95284747049,12099971,22186916199.0,2729932,드라마,1,1,2017,26.3,0.0,1.0,1,698088.0,5116354700.0,53.4,0,20162869
14,부산행,2016-07-20,1.0,1788,93175877048,11565078,23020827248.0,2754686,액션,1,1,2016,24.0,0.0,1.0,1,872673.0,6562420000.0,82.4,0,20156564
15,변호인,2013-12-18,1.0,923,82856578300,11372451,22571929000.0,2978688,드라마,1,1,2013,21.4,0.0,1.0,1,119949.0,848513000.0,28.7,1,20134803
