일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","159600","900","0.57","158700","160300","157600","55130","8797749700","3499892978400","21929154"
"2019/12/27","158700","600","0.38","157100","159200","156400","68908","10915163300","3480156739800","21929154"
"2019/12/26","158100","2200","1.41","155200","158200","153800","82475","12907726700","3466999247400","21929154"
"2019/12/24","155900","-1100","-0.70","157200","157800","154700","51144","7992400300","3418755108600","21929154"
"2019/12/23","157000","2500","1.62","155000","157600","155000","62059","9716770900","3442877178000","21929154"
"2019/12/20","154500","-700","-0.45","155800","156700","154500","65147","10144018000","3388054293000","21929154"
"2019/12/19","155200","-200","-0.13","155400","156000","154000","46647","7246675800","3403404700800","21929154"
"2019/12/18","155400","-500","-0.32","156800","156800","155000","41567","6473737500","3407790531600","21929154"
"2019/12/17","155900","500","0.32","155200","156700","152900","77824","12105510700","3418755108600","21929154"
"2019/12/16","155400","1500","0.97","154500","155900","154000","70498","10934302200","3407790531600","21929154"
"2019/12/13","153900","2000","1.32","153300","154900","152000","99454","15232583000","3374896800600","21929154"
"2019/12/12","151900","-500","-0.33","152500","154200","151900","147156","22447973200","3331038492600","21929154"
"2019/12/11","152400","2900","1.94","151000","153500","150600","69949","10655331000","3342003069600","21929154"
"2019/12/10","149500","100","0.07","149200","151200","146800","101807","15191298200","3278408523000","21929154"
"2019/12/09","149400","-2500","-1.65","152100","152500","149400","51665","7775628600","3276215607600","21929154"
"2019/12/06","151900","-2600","-1.68","154500","154500","151500","70037","10653398600","3331038492600","21929154"
"2019/12/05","154500","700","0.46","154300","155700","153800","60945","9448883000","3388054293000","21929154"
"2019/12/04","153800","-700","-0.45","151500","154700","151500","38623","5929553700","3372703885200","21929154"
"2019/12/03","154500","700","0.46","153100","155400","151400","53094","8167982500","3388054293000","21929154"
"2019/12/02","153800","1200","0.79","153000","155300","152600","46450","7157962800","3372703885200","21929154"
"2019/11/29","152600","-400","-0.26","153100","154300","152500","39189","6004229700","3346388900400","21929154"
"2019/11/28","153000","-1800","-1.16","154700","154700","152400","38676","5925203300","3355160562000","21929154"
"2019/11/27","154800","-400","-0.26","155400","155600","154500","33285","5169126600","3394633039200","21929154"
"2019/11/26","155200","1800","1.17","153400","155200","152100","94866","14665679600","3403404700800","21929154"
"2019/11/25","153400","1600","1.05","153400","153400","150700","63806","9720668600","3363932223600","21929154"
"2019/11/22","151800","300","0.20","153000","155400","150500","161766","24759436200","3328845577200","21929154"
"2019/11/21","151500","3100","2.09","148500","153400","147200","115118","17255470700","3322266831000","21929154"
"2019/11/20","148400","-2300","-1.53","149300","149900","148400","69881","10417080800","3254286453600","21929154"
"2019/11/19","150700","-1200","-0.79","150200","151200","149700","52950","7953798700","3304723507800","21929154"
"2019/11/18","151900","900","0.60","151000","152000","149400","77109","11588602600","3331038492600","21929154"
"2019/11/15","151000","2200","1.48","148800","151000","148800","52674","7919958000","3311302254000","21929154"
"2019/11/14","148800","-2000","-1.33","151100","151800","148700","132522","19822099000","3263058115200","21929154"
"2019/11/13","150800","-4800","-3.08","154600","154600","150100","149145","22617320800","3306916423200","21929154"
"2019/11/12","155600","1500","0.97","154000","155800","154000","78589","12211168400","3412176362400","21929154"
"2019/11/11","154100","-700","-0.45","154900","156300","154000","118410","18320186500","3379282631400","21929154"
"2019/11/08","154800","-12500","-7.47","160600","164200","154200","363202","56646414900","3394633039200","21929154"
"2019/11/07","167300","-3900","-2.28","170500","170900","166200","89747","15000842600","3668747464200","21929154"
"2019/11/06","171200","-2800","-1.61","172300","173600","170400","63587","10903438100","3754271164800","21929154"
"2019/11/05","174000","800","0.46","173200","174000","170600","43929","7560884500","3815672796000","21929154"
"2019/11/04","173200","4200","2.49","169000","174200","169000","79600","13753296500","3798129472800","21929154"
"2019/11/01","169000","4000","2.42","165100","169000","164600","58797","9855540300","3706027026000","21929154"
"2019/10/31","165000","-800","-0.48","165000","167000","164600","51493","8546762300","3618310410000","21929154"
"2019/10/30","165800","1300","0.79","164900","167300","163900","47864","7908492800","3635853733200","21929154"
