일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","7700","0","0.00","7700","7720","7530","335652","2567444050","189862973300","24657529"
"2019/12/27","7700","400","5.48","7300","7730","7300","703663","5286443900","189862973300","24657529"
"2019/12/26","7300","0","0.00","7310","7600","7260","572844","4245712360","179999961700","24657529"
"2019/12/24","7300","-20","-0.27","7340","7560","7300","420412","3111164790","179999961700","24657529"
"2019/12/23","7320","-390","-5.06","7740","7810","7320","605276","4532874100","180493112280","24657529"
"2019/12/20","7710","50","0.65","7520","7730","7340","735651","5532092720","190109548590","24657529"
"2019/12/19","7660","-270","-3.40","8000","8000","7330","1116935","8501094080","188876672140","24657529"
"2019/12/18","7930","20","0.25","8000","8050","7840","299850","2372984390","195534204970","24657529"
"2019/12/17","7910","-170","-2.10","8040","8120","7810","407744","3227962560","195041054390","24657529"
"2019/12/16","8080","180","2.28","8060","8180","7890","565826","4550012060","199232834320","24657529"
"2019/12/13","7900","100","1.28","7890","7990","7560","459256","3573465520","194794479100","24657529"
"2019/12/12","7800","320","4.28","7420","7840","7420","351367","2707539720","192328726200","24657529"
"2019/12/11","7480","-130","-1.71","7630","7830","7410","299282","2258561050","184438316920","24657529"
"2019/12/10","7610","-410","-5.11","7940","8010","7390","722193","5492619320","187643795690","24657529"
"2019/12/09","8020","100","1.26","7950","8170","7920","264467","2129862470","197753382580","24657529"
"2019/12/06","7920","-90","-1.12","8010","8190","7890","343226","2746812790","195287629680","24657529"
"2019/12/05","8010","-10","-0.12","8030","8270","7990","320956","2596082980","197506807290","24657529"
"2019/12/04","8020","-150","-1.84","8070","8260","8020","187237","1518187840","197753382580","24657529"
"2019/12/03","8170","-110","-1.33","8210","8310","7980","285000","2319220520","201452011930","24657529"
"2019/12/02","8280","-40","-0.48","8480","8480","8170","198739","1641448350","204164340120","24657529"
"2019/11/29","8320","100","1.22","8110","8440","8110","347423","2889261730","205150641280","24657529"
"2019/11/28","8220","-430","-4.97","8500","8610","8060","530850","4373628200","202684888380","24657529"
"2019/11/27","8650","100","1.17","8600","8890","8490","486417","4233619260","213287625850","24657529"
"2019/11/26","8550","-70","-0.81","8650","8700","8350","544629","4681957510","210821872950","24657529"
"2019/11/25","8620","640","8.02","8220","8690","8130","958016","8111326530","212547899980","24657529"
"2019/11/22","7980","-1040","-11.53","9200","9400","7770","1635866","13513256620","196767081420","24657529"
