일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","3880","190","5.15","3700","3880","3700","927305","3540794570","242888000000","62600000"
"2019/12/27","3690","30","0.82","3650","3725","3625","320618","1182824435","230994000000","62600000"
"2019/12/26","3660","30","0.83","3680","3710","3640","296705","1090585360","229116000000","62600000"
"2019/12/24","3630","0","0.00","3615","3650","3610","189974","688550275","227238000000","62600000"
"2019/12/23","3630","5","0.14","3625","3675","3585","251926","913480545","227238000000","62600000"
"2019/12/20","3625","95","2.69","3545","3650","3530","574925","2075016945","226925000000","62600000"
"2019/12/19","3530","75","2.17","3455","3540","3405","365378","1268763925","220978000000","62600000"
"2019/12/18","3455","-85","-2.40","3565","3570","3445","363490","1265732525","216283000000","62600000"
"2019/12/17","3540","-10","-0.28","3525","3580","3520","171767","608487720","221604000000","62600000"
"2019/12/16","3550","-15","-0.42","3615","3615","3535","229258","816257245","222230000000","62600000"
"2019/12/13","3565","60","1.71","3520","3610","3520","310931","1109571300","223169000000","62600000"
"2019/12/12","3505","5","0.14","3510","3530","3470","164932","576440245","219413000000","62600000"
"2019/12/11","3500","20","0.57","3480","3520","3465","153483","535435400","219100000000","62600000"
"2019/12/10","3480","-30","-0.85","3510","3565","3465","473036","1662921705","217848000000","62600000"
"2019/12/09","3510","-155","-4.23","3665","3690","3450","1335249","4741362805","219726000000","62600000"
"2019/12/06","3665","-35","-0.95","3690","3730","3610","1116420","4092279840","229429000000","62600000"
"2019/12/05","3700","200","5.71","3535","3770","3510","3326613","12257159890","231620000000","62600000"
"2019/12/04","3500","5","0.14","3490","3530","3455","284365","993177685","219100000000","62600000"
"2019/12/03","3495","70","2.04","3400","3500","3340","349934","1197735285","218787000000","62600000"
"2019/12/02","3425","-15","-0.44","3440","3470","3415","102608","352670770","214405000000","62600000"
"2019/11/29","3440","-15","-0.43","3440","3510","3400","182507","629151960","215344000000","62600000"
"2019/11/28","3455","-25","-0.72","3465","3540","3450","166981","582024055","216283000000","62600000"
"2019/11/27","3480","5","0.14","3475","3510","3445","154989","538355835","217848000000","62600000"
"2019/11/26","3475","-25","-0.71","3550","3550","3465","175481","611452790","217535000000","62600000"
"2019/11/25","3500","130","3.86","3410","3505","3410","387841","1348662370","219100000000","62600000"
"2019/11/22","3370","-5","-0.15","3375","3480","3335","390636","1332291105","210962000000","62600000"
"2019/11/21","3375","-105","-3.02","3475","3480","3320","333308","1129750365","211275000000","62600000"
"2019/11/20","3480","-80","-2.25","3520","3580","3440","324251","1136786400","217848000000","62600000"
"2019/11/19","3560","15","0.42","3525","3580","3500","242943","858707230","222856000000","62600000"
"2019/11/18","3545","130","3.81","3440","3550","3415","511917","1788292380","221917000000","62600000"
"2019/11/15","3415","-5","-0.15","3430","3450","3395","134291","457795650","213779000000","62600000"
"2019/11/14","3420","10","0.29","3410","3470","3370","191122","654976925","214092000000","62600000"
"2019/11/13","3410","-20","-0.58","3405","3445","3360","182868","622217385","213466000000","62600000"
"2019/11/12","3430","-5","-0.15","3420","3470","3400","173738","596364350","214718000000","62600000"
"2019/11/11","3435","35","1.03","3370","3450","3345","202243","685867425","215031000000","62600000"
"2019/11/08","3400","-60","-1.73","3495","3495","3390","261113","893504710","212840000000","62600000"
"2019/11/07","3460","15","0.44","3445","3515","3420","432725","1505959425","216596000000","62600000"
"2019/11/06","3445","25","0.73","3420","3460","3400","265299","910222040","215657000000","62600000"
"2019/11/05","3420","-60","-1.72","3460","3460","3400","402517","1378777760","214092000000","62600000"
"2019/11/04","3480","20","0.58","3500","3505","3435","460872","1600586110","217848000000","62600000"
"2019/11/01","3460","110","3.28","3350","3480","3330","652795","2240257985","216596000000","62600000"
"2019/10/31","3350","-50","-1.47","3435","3485","3315","712284","2438202745","209710000000","62600000"
"2019/10/30","3400","85","2.56","3315","3410","3315","513590","1736462415","212840000000","62600000"
"2019/10/29","3315","5","0.15","3330","3370","3300","297734","990873285","207519000000","62600000"
"2019/10/28","3310","80","2.48","3245","3320","3210","302154","988601105","207206000000","62600000"
"2019/10/25","3230","5","0.16","3240","3260","3210","142970","462792065","202198000000","62600000"
"2019/10/24","3225","50","1.57","3165","3260","3165","225056","725090995","201885000000","62600000"
"2019/10/23","3175","-60","-1.85","3235","3270","3175","233868","748943925","198755000000","62600000"
"2019/10/22","3235","-10","-0.31","3285","3285","3225","201378","653397730","202511000000","62600000"
"2019/10/21","3245","-40","-1.22","3310","3340","3210","350561","1142189440","203137000000","62600000"
"2019/10/18","3285","40","1.23","3290","3350","3250","612429","2015149635","205641000000","62600000"
"2019/10/17","3245","75","2.37","3150","3270","3135","559718","1803521550","203137000000","62600000"
"2019/10/16","3170","35","1.12","3125","3175","3110","229872","722925700","198442000000","62600000"
"2019/10/15","3135","30","0.97","3105","3135","3095","174830","544982940","196251000000","62600000"
"2019/10/14","3105","55","1.80","3080","3125","3040","312943","967658390","194373000000","62600000"
"2019/10/11","3050","10","0.33","3045","3095","3045","224751","689020225","190930000000","62600000"
"2019/10/10","3040","-65","-2.09","3070","3105","3020","333997","1021906010","190304000000","62600000"
"2019/10/08","3105","5","0.16","3070","3125","3050","228543","707289735","194373000000","62600000"
"2019/10/07","3100","-80","-2.52","3165","3200","3085","362829","1130101060","194060000000","62600000"
"2019/10/04","3180","-20","-0.63","3165","3210","3160","234656","745856060","199068000000","62600000"
"2019/10/02","3200","-5","-0.16","3165","3240","3165","221764","711942720","200320000000","62600000"
"2019/10/01","3205","30","0.94","3155","3215","3155","275232","878226105","200633000000","62600000"
"2019/09/30","3175","-115","-3.50","3260","3300","3150","467281","1490688465","198755000000","62600000"
"2019/09/27","3290","0","0.00","3270","3350","3250","109988","361677110","205954000000","62600000"
"2019/09/26","3290","-20","-0.60","3355","3355","3235","216259","712623710","205954000000","62600000"
"2019/09/25","3310","-70","-2.07","3340","3420","3285","404082","1352584560","207206000000","62600000"
"2019/09/24","3380","-40","-1.17","3420","3425","3315","363858","1226912135","211588000000","62600000"
"2019/09/23","3420","110","3.32","3335","3455","3305","685141","2328606070","214092000000","62600000"
"2019/09/20","3310","5","0.15","3290","3335","3275","298588","988029045","207206000000","62600000"
"2019/09/19","3305","-20","-0.60","3350","3355","3275","310845","1026774090","206893000000","62600000"
"2019/09/18","3325","115","3.58","3185","3335","3170","1010850","3313840955","208145000000","62600000"
"2019/09/17","3210","20","0.63","3165","3220","3145","310224","986948790","200946000000","62600000"
"2019/09/16","3190","35","1.11","3180","3200","3160","373606","1186655640","199694000000","62600000"
"2019/09/11","3155","25","0.80","3135","3175","3130","303108","955795760","197503000000","62600000"
"2019/09/10","3130","25","0.81","3100","3155","3100","245888","766073005","195938000000","62600000"
"2019/09/09","3105","-25","-0.80","3130","3190","3105","243241","762274325","194373000000","62600000"
"2019/09/06","3130","-50","-1.57","3225","3225","3130","245176","774963145","195938000000","62600000"
"2019/09/05","3180","35","1.11","3155","3220","3150","217921","696349910","199068000000","62600000"
"2019/09/04","3145","-10","-0.32","3135","3180","3130","228529","720687255","196877000000","62600000"
"2019/09/03","3155","5","0.16","3180","3180","3140","171465","541121625","197503000000","62600000"
"2019/09/02","3150","30","0.96","3120","3150","3105","223941","701360440","197190000000","62600000"
"2019/08/30","3120","50","1.63","3080","3130","3080","331256","1028387065","195312000000","62600000"
"2019/08/29","3070","-35","-1.13","3135","3140","3060","301679","929293990","192182000000","62600000"
"2019/08/28","3105","25","0.81","3080","3120","3055","286604","886754835","194373000000","62600000"
"2019/08/27","3080","50","1.65","3070","3135","3070","437203","1353971245","192808000000","62600000"
"2019/08/26","3030","-160","-5.02","3090","3155","3030","643917","1990554140","189678000000","62600000"
"2019/08/23","3190","-95","-2.89","3295","3320","3175","848788","2736254725","199694000000","62600000"
"2019/08/22","3285","-10","-0.30","3305","3315","3270","430108","1417750530","205641000000","62600000"
"2019/08/21","3295","0","0.00","3280","3330","3260","527089","1739105220","206267000000","62600000"
"2019/08/20","3295","-5","-0.15","3305","3330","3205","879912","2881683340","206267000000","62600000"
"2019/08/19","3300","-225","-6.38","3590","3700","3285","3307082","11635198225","206580000000","62600000"
"2019/08/16","3525","-135","-3.69","3615","3650","3515","1544262","5487145380","220665000000","62600000"
"2019/08/14","3660","45","1.24","3645","3725","3540","1787582","6490523080","229116000000","62600000"
"2019/08/13","3615","-60","-1.63","3685","3745","3535","1919752","6942337435","226299000000","62600000"
"2019/08/12","3675","-170","-4.42","3790","3840","3635","2052653","7591541215","230055000000","62600000"
"2019/08/09","3845","-195","-4.83","3975","4015","3635","3310274","12691416420","240697000000","62600000"
"2019/08/08","4040","140","3.59","4145","4180","3900","3879093","15648147955","252904000000","62600000"
"2019/08/07","3900","105","2.77","3880","4000","3720","2408906","9380861875","244140000000","62600000"
"2019/08/06","3795","-435","-10.28","3980","4095","3600","3313777","12970555380","237567000000","62600000"
"2019/08/05","4230","30","0.71","4365","4550","4055","4869106","20984823950","264798000000","62600000"
"2019/08/02","4200","150","3.70","3980","4265","3980","4219931","17500626065","262920000000","62600000"
"2019/08/01","4050","225","5.88","3780","4450","3720","12667201","53222384650","253530000000","62600000"
"2019/07/31","3825","-45","-1.16","3895","3900","3670","909485","3423728940","239445000000","62600000"
"2019/07/30","3870","-160","-3.97","3945","3985","3785","1095602","4229891870","242262000000","62600000"
"2019/07/29","4030","70","1.77","4005","4080","3840","1049847","4168710340","252278000000","62600000"
"2019/07/26","3960","-50","-1.25","4000","4000","3855","635621","2500585470","247896000000","62600000"
"2019/07/25","4010","95","2.43","3880","4025","3835","912102","3619027245","251026000000","62600000"
"2019/07/24","3915","85","2.22","3840","3955","3835","550627","2147676015","245079000000","62600000"
"2019/07/23","3830","-155","-3.89","3970","4030","3775","857215","3344924950","239758000000","62600000"
"2019/07/22","3985","180","4.73","3880","4050","3815","1849868","7309158000","249461000000","62600000"
"2019/07/19","3805","25","0.66","3750","3890","3740","535983","2042270080","238193000000","62600000"
"2019/07/18","3780","170","4.71","3565","3845","3565","772615","2900822420","236628000000","62600000"
"2019/07/17","3610","-160","-4.24","3730","3755","3565","522837","1897383755","225986000000","62600000"
"2019/07/16","3770","-55","-1.44","3915","3920","3670","789869","2981686205","236002000000","62600000"
"2019/07/15","3825","155","4.22","3715","3850","3645","1269803","4800200115","239445000000","62600000"
