일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","16150","0","0.00","16500","16550","16000","321194","5210288750","148798138050","9213507"
"2019/12/27","16150","550","3.53","15600","16200","15350","369592","5861591950","148798138050","9213507"
"2019/12/26","15600","150","0.97","15650","15700","15350","293910","4504384698","143730709200","9213507"
"2019/12/24","15450","-350","-2.22","15700","15850","15400","145507","2267373250","142348683150","9213507"
"2019/12/23","15800","-150","-0.94","16050","16050","15650","121297","1914332050","145573410600","9213507"
"2019/12/20","15950","450","2.90","15650","15950","15500","191599","3020988950","146955436650","9213507"
"2019/12/19","15500","100","0.65","15750","15800","15450","122303","1903650250","142809358500","9213507"
"2019/12/18","15400","0","0.00","15450","16000","15300","212964","3310469500","141888007800","9213507"
"2019/12/17","15400","50","0.33","15450","15450","15100","225270","3446131700","141888007800","9213507"
"2019/12/16","15350","200","1.32","15200","15450","15050","195065","2967762850","141427332450","9213507"
"2019/12/13","15150","300","2.02","14900","15800","14850","743843","11355704000","139584631050","9213507"
"2019/12/12","14850","150","1.02","14850","15000","14450","359890","5285804650","136820578950","9213507"
"2019/12/11","14700","-400","-2.65","14950","15600","14650","787759","11849982400","135438552900","9213507"
"2019/12/10","15100","1750","13.11","13150","16550","13050","4481579","68813380750","139123955700","9213507"
"2019/12/09","13350","650","5.12","12750","13400","12750","217416","2869707100","123000318450","9213507"
"2019/12/06","12700","-100","-0.78","12950","12950","12500","206818","2632869000","117011538900","9213507"
"2019/12/05","12800","-550","-4.12","13400","13500","12600","247232","3184083650","117932889600","9213507"
"2019/12/04","13350","-250","-1.84","13400","14700","13200","234460","3210394600","123000318450","9213507"
"2019/12/03","13600","-300","-2.16","13800","13850","13450","101101","1377195500","125303695200","9213507"
"2019/12/02","13900","-300","-2.11","14200","14450","13900","71971","1010079750","128067747300","9213507"
"2019/11/29","14200","-300","-2.07","14650","14700","13950","102537","1456109850","130831799400","9213507"
"2019/11/28","14500","50","0.35","14300","14800","14300","81797","1194644850","133595851500","9213507"
"2019/11/27","14450","50","0.35","14300","14650","14250","66679","964057100","133135176150","9213507"
"2019/11/26","14400","350","2.49","14050","14650","14050","122138","1759162550","132674500800","9213507"
"2019/11/25","14050","0","0.00","14050","14350","14000","124321","1753307550","129449773350","9213507"
"2019/11/22","14050","-700","-4.75","14850","15150","13700","311929","4400815350","129449773350","9213507"
"2019/11/21","14750","-800","-5.14","15600","15800","14350","283782","4184763550","135899228250","9213507"
"2019/11/20","15550","-300","-1.89","15850","16050","15450","105714","1668124950","143270033850","9213507"
"2019/11/19","15850","-250","-1.55","16250","16400","15700","217547","3506198550","146034085950","9213507"
"2019/11/18","16100","-650","-3.88","16750","16750","15900","237037","3829292300","148337462700","9213507"
"2019/11/15","16750","0","0.00","16650","17000","16450","313896","5255035850","154326242250","9213507"
"2019/11/14","16750","950","6.01","16250","17000","16150","442054","7341503850","154326242250","9213507"
"2019/11/13","15800","-200","-1.25","15800","16200","15700","93747","1490938000","145573410600","9213507"
"2019/11/12","16000","-500","-3.03","16450","16650","15750","176295","2830668550","147416112000","9213507"
"2019/11/11","16500","450","2.80","16050","16650","15950","115979","1897704100","152022865500","9213507"
"2019/11/08","16050","-100","-0.62","16150","16350","15950","73724","1184080250","147876787350","9213507"
"2019/11/07","16150","-150","-0.92","16200","16700","16000","96722","1561319400","148798138050","9213507"
"2019/11/06","16300","-300","-1.81","16650","17150","16300","199605","3338107350","150180164100","9213507"
"2019/11/05","16600","-200","-1.19","16850","17050","16550","101603","1701063100","152944216200","9213507"
"2019/11/04","16800","150","0.90","16550","16800","16150","110689","1821206200","154786917600","9213507"
"2019/11/01","16650","400","2.46","16350","16850","16150","106774","1778291700","153404891550","9213507"
"2019/10/31","16250","300","1.88","16000","16250","15900","86271","1385458650","149719488750","9213507"
"2019/10/30","15950","-500","-3.04","16500","16700","15800","134220","2167609550","146955436650","9213507"
"2019/10/29","16450","350","2.17","16100","17700","15850","312663","5258501100","151562190150","9213507"
"2019/10/28","16100","-550","-3.30","16500","16700","16000","88729","1440434400","148337462700","9213507"
"2019/10/25","16650","250","1.52","16400","16950","16400","70134","1166639700","153404891550","9213507"
"2019/10/24","16400","-300","-1.80","16600","16700","16200","81631","1335269700","151101514800","9213507"
"2019/10/23","16700","-300","-1.76","17000","17000","16500","92714","1544526000","153865566900","9213507"
"2019/10/22","17000","-250","-1.45","17200","17200","16650","82082","1390695150","156629619000","9213507"
"2019/10/21","17250","-100","-0.58","17350","17350","16500","130792","2210685650","158932995750","9213507"
"2019/10/18","17350","-200","-1.14","17600","17700","17150","150681","2616705750","159854346450","9213507"
"2019/10/17","17550","800","4.78","17000","17650","16800","179160","3104398100","161697047850","9213507"
"2019/10/16","16750","-400","-2.33","17150","17150","16700","70573","1191411600","154326242250","9213507"
