일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","34550","600","1.77","34000","34650","33600","51440","1768414250","731123364150","21161313"
"2019/12/27","33950","150","0.44","34600","34600","33500","73982","2507969900","718426576350","21161313"
"2019/12/26","33800","-300","-0.88","34500","34500","33500","71866","2424647850","715252379400","21161313"
"2019/12/24","34100","-800","-2.29","35000","35000","34000","114477","3919375500","721600773300","21161313"
"2019/12/23","34900","-100","-0.29","35050","35400","34700","62750","2191781800","738529823700","21161313"
"2019/12/20","35000","-400","-1.13","35600","35800","35000","80900","2846712200","740645955000","21161313"
"2019/12/19","35400","50","0.14","35350","35800","35300","59940","2127168300","749110480200","21161313"
"2019/12/18","35350","-650","-1.81","36000","36100","35050","149079","5281555300","748052414550","21161313"
"2019/12/17","36000","150","0.42","35600","36300","35600","87711","3154853500","761807268000","21161313"
"2019/12/16","35850","-950","-2.58","36800","36950","35500","127841","4589102400","758633071050","21161313"
"2019/12/13","36800","200","0.55","36850","37350","36600","80457","2967305200","778736318400","21161313"
"2019/12/12","36600","-400","-1.08","37000","37300","36550","110644","4063304350","774504055800","21161313"
"2019/12/11","37000","850","2.35","36350","37150","36050","67861","2492893350","782968581000","21161313"
"2019/12/10","36150","0","0.00","36150","36350","35900","44511","1606011000","764981464950","21161313"
"2019/12/09","36150","-100","-0.28","36450","36450","36050","63611","2302656100","764981464950","21161313"
"2019/12/06","36250","-100","-0.28","36050","36550","35900","56372","2038482700","767097596250","21161313"
"2019/12/05","36350","-150","-0.41","36350","36700","36000","41880","1519689300","769213727550","21161313"
"2019/12/04","36500","-200","-0.54","36350","37000","36150","68712","2506803400","772387924500","21161313"
"2019/12/03","36700","300","0.82","36150","36900","35800","87352","3191762500","776620187100","21161313"
"2019/12/02","36400","-350","-0.95","36800","37500","35700","81158","2972245150","770271793200","21161313"
"2019/11/29","36750","-250","-0.68","37350","37350","36550","56511","2079328500","777678252750","21161313"
"2019/11/28","37000","-750","-1.99","37500","37550","36850","83417","3093840150","782968581000","21161313"
"2019/11/27","37750","150","0.40","38150","38350","37400","78171","2949598400","798839565750","21161313"
"2019/11/26","37600","-800","-2.08","38400","38450","37350","114033","4305171250","795665368800","21161313"
"2019/11/25","38400","650","1.72","38250","38950","37800","105011","4016627700","812594419200","21161313"
"2019/11/22","37750","-350","-0.92","37700","38650","37700","105141","3992806300","798839565750","21161313"
"2019/11/21","38100","-850","-2.18","39200","39700","37550","199352","7605372750","806246025300","21161313"
"2019/11/20","38950","-450","-1.14","39500","40200","38450","230367","9065057150","824233141350","21161313"
"2019/11/19","39400","900","2.34","38950","39900","38700","426874","16815515650","833755732200","21161313"
"2019/11/18","38500","550","1.45","38150","38750","37450","175240","6706596300","814710550500","21161313"
"2019/11/15","37950","1300","3.55","36700","38350","36650","262655","9974483950","803071828350","21161313"
"2019/11/14","36650","1650","4.71","35400","36700","35200","152538","5513935450","775562121450","21161313"
"2019/11/13","35000","-550","-1.55","35600","35850","34950","56529","1991152600","740645955000","21161313"
"2019/11/12","35550","700","2.01","34900","35950","34900","79831","2841385250","752284677150","21161313"
"2019/11/11","34850","-1000","-2.79","35850","36050","34600","88510","3100725100","737471758050","21161313"
"2019/11/08","35850","-300","-0.83","36250","36400","34100","252059","8913472750","758633071050","21161313"
