일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","38550","750","1.98","37800","38550","37750","68230","2616987750","555385917900","14406898"
"2019/12/27","37800","1200","3.28","37100","37850","36700","82602","3100163650","544580744400","14406898"
"2019/12/26","36600","-50","-0.14","36750","37000","36550","104391","3829906900","527292466800","14406898"
"2019/12/24","36650","-850","-2.27","37800","37900","36600","100242","3693763650","528012811700","14406898"
"2019/12/23","37500","-750","-1.96","38300","38400","37450","88223","3330614800","540258675000","14406898"
"2019/12/20","38250","-550","-1.42","38950","38950","38150","53019","2042495100","551063848500","14406898"
"2019/12/19","38800","200","0.52","39000","39150","38650","50084","1946275400","558987642400","14406898"
"2019/12/18","38600","-450","-1.15","39050","39050","37500","89264","3440789100","556106262800","14406898"
"2019/12/17","39050","350","0.90","38750","39250","38550","53121","2074130450","562589366900","14406898"
"2019/12/16","38700","-450","-1.15","39300","39300","38650","43823","1703922000","557546952600","14406898"
"2019/12/13","39150","1200","3.16","38100","39200","38000","79365","3075484650","564030056700","14406898"
"2019/12/12","37950","500","1.34","37800","38050","37450","54411","2057368450","546741779100","14406898"
"2019/12/11","37450","-550","-1.45","38000","38100","37350","67851","2552876350","539538330100","14406898"
"2019/12/10","38000","350","0.93","37950","38200","37750","41795","1586923800","547462124000","14406898"
"2019/12/09","37650","-850","-2.21","38800","38800","37450","87717","3326542850","542419709700","14406898"
"2019/12/06","38500","-250","-0.65","39000","39050","38050","94683","3643793650","554665573000","14406898"
"2019/12/05","38750","-100","-0.26","39300","39600","38600","71761","2799092100","558267297500","14406898"
"2019/12/04","38850","-1150","-2.88","39600","39900","38800","68069","2669998150","559707987300","14406898"
"2019/12/03","40000","100","0.25","39800","40250","39300","79914","3181071450","576275920000","14406898"
"2019/12/02","39900","900","2.31","39200","40250","39100","113220","4510245600","574835230200","14406898"
"2019/11/29","39000","950","2.50","38100","39050","38050","121216","4697487350","561869022000","14406898"
"2019/11/28","38050","-850","-2.19","38950","39250","38000","100556","3850842550","548182468900","14406898"
"2019/11/27","38900","-1100","-2.75","39700","40050","38900","81344","3208150300","560428332200","14406898"
"2019/11/26","40000","600","1.52","40150","40200","39000","123245","4899218150","576275920000","14406898"
"2019/11/25","39400","-350","-0.88","40800","41000","39400","198895","7936894850","567631781200","14406898"
"2019/11/22","39750","-50","-0.13","40550","41050","39400","349226","14048558150","572674195500","14406898"
"2019/11/21","39800","450","1.14","39650","40050","37850","215271","8425204350","573394540400","14406898"
"2019/11/20","39350","100","0.25","39500","39550","38550","199510","7787667800","566911436300","14406898"
"2019/11/19","39250","1100","2.88","38000","39850","37950","280747","11027669400","565470746500","14406898"
"2019/11/18","38150","0","0.00","38350","38400","37550","83276","3156023100","549623158700","14406898"
"2019/11/15","38150","150","0.39","38000","38250","37500","97742","3717043250","549623158700","14406898"
"2019/11/14","38000","1200","3.26","36850","38150","36850","208658","7889734450","547462124000","14406898"
"2019/11/13","36800","-150","-0.41","36950","37200","36300","61156","2250350550","530173846400","14406898"
"2019/11/12","36950","550","1.51","36600","37050","36000","101160","3706657900","532334881100","14406898"
"2019/11/11","36400","-800","-2.15","37300","37550","36200","136529","4981018850","524411087200","14406898"
"2019/11/08","37200","-100","-0.27","37450","37850","36050","196552","7281593400","535936605600","14406898"
"2019/11/07","37300","-1150","-2.99","38450","38600","37050","163554","6138737150","537377295400","14406898"
"2019/11/06","38450","850","2.26","37900","38700","37300","160063","6092377350","553945228100","14406898"
"2019/11/05","37600","-350","-0.92","38150","38500","37350","135306","5120435200","541699364800","14406898"
"2019/11/04","37950","-50","-0.13","38500","38600","37650","136441","5174665250","546741779100","14406898"
"2019/11/01","38000","800","2.15","37200","38500","37150","221504","8458258500","547462124000","14406898"
"2019/10/31","37200","-200","-0.53","36800","37800","36650","152542","5686918600","535936605600","14406898"
"2019/10/30","37400","900","2.47","37300","37900","36500","374051","14016389750","538817985200","14406898"
"2019/10/29","36500","2400","7.04","34200","36500","34150","405459","14561563100","525851777000","14406898"
"2019/10/28","34100","-100","-0.29","34200","34650","34000","61222","2102425850","491275221800","14406898"
"2019/10/25","34200","-250","-0.73","34650","34850","33900","66739","2292026250","492715911600","14406898"
"2019/10/24","34450","1100","3.30","33500","34500","33150","97928","3325274500","496317636100","14406898"
"2019/10/23","33350","-750","-2.20","34200","34200","33300","89952","3022826250","480470048300","14406898"
"2019/10/22","34100","-200","-0.58","34300","34500","33750","94400","3212025550","491275221800","14406898"
"2019/10/21","34300","-100","-0.29","34700","35100","34200","117797","4078570700","494156601400","14406898"
"2019/10/18","34400","400","1.18","34700","34950","33900","136680","4702076250","495597291200","14406898"
"2019/10/17","34000","-550","-1.59","34650","36200","33250","631833","21770879900","489834532000","14406898"
"2019/10/16","34550","100","0.29","34600","35250","34350","137006","4751970100","497758325900","14406898"
"2019/10/15","34450","-1100","-3.09","35550","35650","34300","181446","6296328100","496317636100","14406898"
"2019/10/14","35550","1550","4.56","34800","35900","34500","203878","7204754400","512165223900","14406898"
"2019/10/11","34000","1550","4.78","32950","34700","32950","255839","8729245900","489834532000","14406898"
"2019/10/10","32450","-750","-2.26","33050","33050","32300","115087","3742218800","467503840100","14406898"
"2019/10/08","33200","150","0.45","32950","33450","32550","144693","4766923600","478309013600","14406898"
"2019/10/07","33050","800","2.48","32250","33150","32250","143940","4700917050","476147978900","14406898"
"2019/10/04","32250","-1000","-3.01","33150","33300","31800","288347","9304099000","464622460500","14406898"
"2019/10/02","33250","-2400","-6.73","35000","35300","32950","372249","12550853950","479029358500","14406898"
"2019/10/01","35650","50","0.14","35350","35650","35050","97490","3440314000","513605913700","14406898"
"2019/09/30","35600","-600","-1.66","35850","36100","34850","90487","3199948550","512885568800","14406898"
"2019/09/27","36200","150","0.42","35850","36350","35700","47750","1723083850","521529707600","14406898"
"2019/09/26","36050","0","0.00","36400","36650","35650","69080","2503649200","519368672900","14406898"
"2019/09/25","36050","-1150","-3.09","37050","37400","36000","95695","3490759000","519368672900","14406898"
"2019/09/24","37200","50","0.13","37000","37750","37000","56646","2119646950","535936605600","14406898"
"2019/09/23","37150","-600","-1.59","37650","37650","37000","73925","2755265300","535216260700","14406898"
"2019/09/20","37750","150","0.40","37400","37750","37150","63251","2369291950","543860399500","14406898"
"2019/09/19","37600","-150","-0.40","37800","38300","37400","102094","3856786400","541699364800","14406898"
"2019/09/18","37750","250","0.67","37400","38650","37300","152507","5812209250","543860399500","14406898"
"2019/09/17","37500","-250","-0.66","37700","37700","37050","95476","3557034900","540258675000","14406898"
"2019/09/16","37750","200","0.53","37700","37800","36750","104970","3909857900","543860399500","14406898"
"2019/09/11","37550","50","0.13","37500","38450","37350","152825","5784684450","540979019900","14406898"
"2019/09/10","37500","1050","2.88","36650","37900","36600","189973","7103346450","540258675000","14406898"
"2019/09/09","36450","1350","3.85","35150","36650","34950","169367","6115731050","525131432100","14406898"
"2019/09/06","35100","-550","-1.54","35700","35800","34850","62544","2195405800","505682119800","14406898"
"2019/09/05","35650","700","2.00","35300","35750","35000","101128","3594310350","513605913700","14406898"
"2019/09/04","34950","200","0.58","34650","35250","34600","54121","1892042700","503521085100","14406898"
"2019/09/03","34750","350","1.02","34500","35400","34200","115602","4030456350","500639705500","14406898"
"2019/09/02","34400","600","1.78","33650","34450","33650","84890","2903912200","495597291200","14406898"
"2019/08/30","33800","800","2.42","33300","34000","33000","117761","3958199950","486953152400","14406898"
"2019/08/29","33000","-400","-1.20","33200","33600","32300","151344","4976315050","475427634000","14406898"
"2019/08/28","33400","800","2.45","32550","33400","32500","102762","3374250200","481190393200","14406898"
"2019/08/27","32600","350","1.09","32700","33250","32550","139564","4585477250","469664874800","14406898"
"2019/08/26","32250","-2450","-7.06","33600","33850","32250","254748","8396227950","464622460500","14406898"
"2019/08/23","34700","-950","-2.66","35400","35400","34500","117442","4096022800","499919360600","14406898"
"2019/08/22","35650","-1150","-3.13","36700","37050","35600","123529","4481832400","513605913700","14406898"
"2019/08/21","36800","1350","3.81","35550","36800","35450","124010","4509785100","530173846400","14406898"
"2019/08/20","35450","250","0.71","35300","35900","35150","107967","3831041550","510724534100","14406898"
"2019/08/19","35200","150","0.43","35300","35600","34950","101241","3563221150","507122809600","14406898"
"2019/08/16","35050","-1000","-2.77","35950","35950","35050","123611","4361975800","504961774900","14406898"
"2019/08/14","36050","-50","-0.14","36400","37000","35900","93750","3398668900","519368672900","14406898"
"2019/08/13","36100","-1000","-2.70","36600","37050","36050","142683","5217077300","520089017800","14406898"
"2019/08/12","37100","-1050","-2.75","37550","38050","36850","153940","5727302350","534495915800","14406898"
"2019/08/09","38150","-1550","-3.90","39600","39700","37750","249936","9654403950","549623158700","14406898"
"2019/08/08","39700","200","0.51","39450","42500","39100","368073","14796120750","571953850600","14406898"
"2019/08/07","39500","2700","7.34","37050","39750","37050","242364","9310522450","569072471000","14406898"
"2019/08/06","36800","-900","-2.39","36250","37600","35100","353472","13028649700","530173846400","14406898"
"2019/08/05","37700","-4550","-10.77","42600","42600","37550","424871","16626905900","543140054600","14406898"
"2019/08/02","42250","-3950","-8.55","43500","45950","40400","426748","18034079450","608691440500","14406898"
"2019/08/01","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/31","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/30","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/29","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/26","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/25","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/24","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/23","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
"2019/07/22","46200","0","0.00","0","0","0","0","0","665598696840","144068982"
