일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/27","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/26","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/24","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/23","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/20","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/19","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/18","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/17","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/16","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/13","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/12","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/11","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/10","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/09","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/06","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/05","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/04","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/03","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/12/02","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/29","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/28","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/27","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/26","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/25","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/22","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/21","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/20","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/19","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/18","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/15","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/14","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/13","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/12","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/11","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/08","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/07","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/06","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/05","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/04","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/11/01","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/31","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/30","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/29","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/28","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/25","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/24","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/23","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/22","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/21","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/18","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/17","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/16","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/15","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/14","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/11","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/10","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/08","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/07","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/04","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/02","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/10/01","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/30","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/27","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/26","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/25","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/24","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/23","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/20","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/19","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/18","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/17","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/16","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/11","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/10","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/09","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/06","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/05","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/04","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/03","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/09/02","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/30","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/29","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/28","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/27","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/26","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/23","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/22","150","0","0.00","0","0","0","0","0","29592697500","197284650"
"2019/08/21","150","0","0.00","0","0","0","0","0","29592697500","197284650"
