일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","3970","50","1.28","3900","4030","3900","51479","205157520","110787240820","27906106"
"2019/12/27","3920","130","3.43","3850","3940","3780","65512","253724610","109391935520","27906106"
"2019/12/26","3790","30","0.80","3760","3840","3755","56339","212789080","105764141740","27906106"
"2019/12/24","3760","-115","-2.97","3875","3875","3750","117798","446347500","104926958560","27906106"
"2019/12/23","3875","-20","-0.51","3895","3940","3860","71654","278644515","108136160750","27906106"
"2019/12/20","3895","10","0.26","3915","3970","3870","64434","252576585","108694282870","27906106"
"2019/12/19","3885","45","1.17","3860","3955","3860","71764","279732955","108415221810","27906106"
"2019/12/18","3840","-195","-4.83","4040","4050","3800","264493","1030701685","107159447040","27906106"
"2019/12/17","4035","5","0.12","4030","4100","4030","63131","255461990","112601137710","27906106"
"2019/12/16","4030","-135","-3.24","4165","4170","4030","129013","525167100","112461607180","27906106"
"2019/12/13","4165","-40","-0.95","4220","4260","4125","119217","498097495","116228931490","27906106"
"2019/12/12","4205","-50","-1.18","4255","4285","4200","49320","208868335","117345175730","27906106"
"2019/12/11","4255","55","1.31","4200","4300","4095","87765","365547620","118740481030","27906106"
"2019/12/10","4200","-85","-1.98","4250","4285","4000","48418","203577020","117205645200","27906106"
"2019/12/09","4285","-50","-1.15","4350","4360","4250","61049","262741325","119577664210","27906106"
"2019/12/06","4335","75","1.76","4280","4400","4230","84416","364384030","120972969510","27906106"
"2019/12/05","4260","-135","-3.07","4370","4400","4210","96777","415651885","118880011560","27906106"
"2019/12/04","4395","-30","-0.68","4400","4445","4310","117534","512543020","122647335870","27906106"
"2019/12/03","4425","40","0.91","4350","4460","4330","180228","795224700","123484519050","27906106"
"2019/12/02","4385","125","2.93","4265","4385","4205","127944","553128490","122368274810","27906106"
"2019/11/29","4260","-35","-0.81","4250","4355","4220","71611","307385045","118880011560","27906106"
"2019/11/28","4295","25","0.59","4285","4360","4200","70357","301198875","119856725270","27906106"
"2019/11/27","4270","-40","-0.93","4290","4380","4260","49955","215145235","119159072620","27906106"
"2019/11/26","4310","50","1.17","4310","4365","4250","87467","377686345","120275316860","27906106"
"2019/11/25","4260","100","2.40","4125","4270","4125","92689","392237235","118880011560","27906106"
"2019/11/22","4160","70","1.71","4090","4220","4090","81177","338681665","116089400960","27906106"
"2019/11/21","4090","-150","-3.54","4190","4220","4085","104952","433831175","114135973540","27906106"
"2019/11/20","4240","-20","-0.47","4270","4430","4230","390469","1698386265","118321889440","27906106"
"2019/11/19","4260","0","0.00","4235","4360","4195","150554","644630410","118880011560","27906106"
"2019/11/18","4260","50","1.19","4190","4295","4145","213307","904544890","118880011560","27906106"
"2019/11/15","4210","160","3.95","4040","4225","3990","252235","1047394045","117484706260","27906106"
"2019/11/14","4050","80","2.02","3985","4050","3965","112284","451231415","113019729300","27906106"
"2019/11/13","3970","-30","-0.75","3970","4000","3940","162671","644122680","110787240820","27906106"
"2019/11/12","4000","-85","-2.08","4075","4075","3945","295039","1179392290","111624424000","27906106"
"2019/11/11","4085","20","0.49","4670","4670","4085","1948058","8478913640","113996443010","27906106"
"2019/11/08","4065","60","1.50","4015","4085","4000","202829","874111190","113438320890","27906106"
"2019/11/07","4005","15","0.38","3950","4065","3950","102928","411953705","111763954530","27906106"
"2019/11/06","3990","0","0.00","4000","4050","3950","38255","152222200","111345362940","27906106"
"2019/11/05","3990","0","0.00","4010","4020","3960","41204","164020245","111345362940","27906106"
"2019/11/04","3990","25","0.63","3965","4085","3965","64658","260234885","111345362940","27906106"
"2019/11/01","3965","-15","-0.38","3980","4030","3910","71153","282066530","110647710290","27906106"
"2019/10/31","3980","-90","-2.21","4030","4110","3960","113061","455348700","111066301880","27906106"
"2019/10/30","4070","295","7.81","3770","4095","3770","434603","1737462870","113577851420","27906106"
"2019/10/29","3775","15","0.40","3765","3840","3750","52386","197946290","105345550150","27906106"
"2019/10/28","3760","10","0.27","3750","3790","3705","64690","241047755","104926958560","27906106"
"2019/10/25","3750","-25","-0.66","3755","3845","3725","67216","253134530","104647897500","27906106"
"2019/10/24","3775","-10","-0.26","3790","3800","3710","53222","199472800","105345550150","27906106"
"2019/10/23","3785","-85","-2.20","3880","3905","3760","109865","418237720","105624611210","27906106"
"2019/10/22","3870","-145","-3.61","4190","4270","3860","325252","1311068165","107996630220","27906106"
"2019/10/21","4015","55","1.39","4020","4020","3895","141075","564829640","112043015590","27906106"
"2019/10/18","3960","15","0.38","3985","4060","3950","103955","415912300","110508179760","27906106"
"2019/10/17","3945","65","1.68","3885","3990","3885","66134","261040590","110089588170","27906106"
