일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","1650","40","2.48","1620","1660","1600","818099","1340600425","116510258700","70612278"
"2019/12/27","1610","45","2.88","1565","1625","1560","770924","1234229445","113685767580","70612278"
"2019/12/26","1565","-10","-0.63","1565","1585","1560","445074","699209925","110508215070","70612278"
"2019/12/24","1575","-5","-0.32","1580","1590","1550","351206","552004915","111214337850","70612278"
"2019/12/23","1580","0","0.00","1640","1640","1565","442654","702027525","111567399240","70612278"
"2019/12/20","1580","0","0.00","1595","1600","1560","473834","748222360","111567399240","70612278"
"2019/12/19","1580","-5","-0.32","1585","1620","1570","528798","842657645","111567399240","70612278"
"2019/12/18","1585","20","1.28","1590","1630","1570","1522491","2433100385","111920460630","70612278"
"2019/12/17","1565","-15","-0.95","1580","1580","1530","1114705","1729786770","110508215070","70612278"
"2019/12/16","1580","115","7.85","1515","1625","1485","3187705","5021898455","111567399240","70612278"
"2019/12/13","1465","-5","-0.34","1485","1495","1460","344682","508056760","103446987270","70612278"
"2019/12/12","1470","25","1.73","1445","1475","1440","240534","351999185","103800048660","70612278"
"2019/12/11","1445","5","0.35","1435","1465","1435","229938","332531795","102034741710","70612278"
"2019/12/10","1440","0","0.00","1495","1515","1420","853345","1255104885","101681680320","70612278"
"2019/12/09","1440","30","2.13","1435","1450","1405","227105","324038575","101681680320","70612278"
"2019/12/06","1410","20","1.44","1370","1420","1370","312133","437747305","99563311980","70612278"
"2019/12/05","1390","-35","-2.46","1425","1445","1380","586837","828490900","98151066420","70612278"
"2019/12/04","1425","-5","-0.35","1435","1460","1420","261094","374722555","100622496150","70612278"
"2019/12/03","1430","-20","-1.38","1435","1475","1425","243881","352436415","100975557540","70612278"
"2019/12/02","1450","-20","-1.36","1470","1495","1430","387349","565518170","102387803100","70612278"
"2019/11/29","1470","-30","-2.00","1485","1500","1470","310571","460844585","103800048660","70612278"
"2019/11/28","1500","25","1.69","1475","1510","1440","864361","1276089670","105918417000","70612278"
"2019/11/27","1475","5","0.34","1460","1485","1450","310067","454000175","104153110050","70612278"
"2019/11/26","1470","30","2.08","1445","1485","1445","552331","809639085","103800048660","70612278"
"2019/11/25","1440","-45","-3.03","1490","1510","1440","1319640","1931609340","101681680320","70612278"
"2019/11/22","1485","-60","-3.88","1550","1565","1475","1340069","2017179145","104859232830","70612278"
"2019/11/21","1545","-65","-4.04","1605","1605","1530","1185364","1844731460","109095969510","70612278"
"2019/11/20","1610","-110","-6.40","1720","1720","1595","1977023","3235518700","113685767580","70612278"
"2019/11/19","1720","0","0.00","1725","1725","1660","830521","1408165850","121453118160","70612278"
"2019/11/18","1720","-5","-0.29","1720","1725","1685","977611","1667736085","121453118160","70612278"
"2019/11/15","1725","-110","-5.99","1780","1810","1685","4157587","7199889765","121806179550","70612278"
"2019/11/14","1835","-45","-2.39","1885","1895","1805","4162891","7712636920","129573530130","70612278"
"2019/11/13","1880","215","12.91","1670","1895","1645","12651039","23032043925","132751082640","70612278"
"2019/11/12","1665","5","0.30","1695","1705","1660","953895","1597966570","117569442870","70612278"
"2019/11/11","1660","5","0.30","1655","1670","1625","652493","1074217490","117216381480","70612278"
"2019/11/08","1655","-15","-0.90","1675","1680","1635","793285","1314781590","116863320090","70612278"
"2019/11/07","1670","-50","-2.91","1720","1730","1665","1041598","1759774885","117922504260","70612278"
"2019/11/06","1720","20","1.18","1700","1750","1680","1305020","2228031065","121453118160","70612278"
"2019/11/05","1700","-30","-1.73","1730","1730","1665","2122497","3596599860","120040872600","70612278"
"2019/11/04","1730","110","6.79","1640","1780","1630","5805915","9968056460","122159240940","70612278"
"2019/11/01","1620","0","0.00","1635","1645","1595","801955","1298038910","114391890360","70612278"
"2019/10/31","1620","-10","-0.61","1635","1640","1570","1118596","1789905825","114391890360","70612278"
"2019/10/30","1630","10","0.62","1630","1700","1600","3651404","6039404805","115098013140","70612278"
"2019/10/29","1620","5","0.31","1620","1630","1595","356989","574443110","114391890360","70612278"
"2019/10/28","1615","-45","-2.71","1650","1655","1605","852200","1388361615","114038828970","70612278"
"2019/10/25","1660","70","4.40","1590","1660","1560","729562","1179856805","117216381480","70612278"
"2019/10/24","1590","30","1.92","1560","1590","1530","464904","727676390","112273522020","70612278"
"2019/10/23","1560","-40","-2.50","1600","1610","1555","759804","1195465035","110155153680","70612278"
"2019/10/22","1600","-25","-1.54","1640","1655","1600","784783","1278923185","112979644800","70612278"
"2019/10/21","1625","-25","-1.52","1660","1670","1620","473243","775726720","114744951750","70612278"
"2019/10/18","1650","40","2.48","1615","1655","1590","1019647","1661707235","116510258700","70612278"
"2019/10/17","1610","-35","-2.13","1625","1630","1585","720325","1154551415","113685767580","70612278"
"2019/10/16","1645","0","0.00","1650","1660","1605","749621","1226299155","116157197310","70612278"
"2019/10/15","1645","60","3.79","1570","1675","1560","1513862","2455162295","116157197310","70612278"
"2019/10/14","1585","125","8.56","1530","1680","1485","2685850","4266151955","111920460630","70612278"
"2019/10/11","1460","25","1.74","1435","1460","1415","302455","434767620","103093925880","70612278"
"2019/10/10","1435","20","1.41","1410","1460","1395","330540","474439780","101328618930","70612278"
"2019/10/08","1415","-5","-0.35","1420","1430","1395","263918","372840065","99916373370","70612278"
"2019/10/07","1420","-25","-1.73","1435","1455","1405","377416","539265065","100269434760","70612278"
"2019/10/04","1445","-5","-0.34","1450","1485","1405","867767","1251251680","102034741710","70612278"
"2019/10/02","1450","-25","-1.69","1450","1470","1430","270806","391233460","102387803100","70612278"
"2019/10/01","1475","10","0.68","1450","1495","1435","387899","565114210","104153110050","70612278"
"2019/09/30","1465","-70","-4.56","1535","1550","1425","576330","858993830","103446987270","70612278"
"2019/09/27","1535","-10","-0.65","1535","1580","1520","364016","563521175","108389846730","70612278"
"2019/09/26","1545","-15","-0.96","1560","1615","1535","577987","902752460","109095969510","70612278"
"2019/09/25","1560","-70","-4.29","1610","1640","1550","621490","987368690","110155153680","70612278"
