일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","655","22","3.48","637","655","630","363855","235080058","47621082665","72703943"
"2019/12/27","633","7","1.12","623","635","622","203470","128134130","46021595919","72703943"
"2019/12/26","626","-11","-1.73","637","640","620","228358","143867540","45512668318","72703943"
"2019/12/24","637","-5","-0.78","642","654","626","305135","193015643","46312411691","72703943"
"2019/12/23","642","-8","-1.23","650","654","635","320667","205825542","46675931406","72703943"
"2019/12/20","650","-5","-0.76","666","666","642","248991","161769358","47257562950","72703943"
"2019/12/19","655","18","2.83","644","674","636","752856","493076892","47621082665","72703943"
"2019/12/18","637","-4","-0.62","648","649","636","180095","116052240","46312411691","72703943"
"2019/12/17","641","-4","-0.62","645","655","639","228594","147366004","46603227463","72703943"
"2019/12/16","645","0","0.00","648","651","640","232687","150107521","46894043235","72703943"
"2019/12/13","645","7","1.10","638","667","638","486869","315477273","46894043235","72703943"
"2019/12/12","638","7","1.11","631","647","631","273952","175453983","46385115634","72703943"
"2019/12/11","631","-2","-0.32","627","640","625","187390","118644084","45876188033","72703943"
"2019/12/10","633","-17","-2.62","643","648","626","452258","285726325","46021595919","72703943"
"2019/12/09","650","-5","-0.76","650","652","631","451881","290240953","47257562950","72703943"
"2019/12/06","655","23","3.64","635","685","630","1593834","1045476314","47621082665","72703943"
"2019/12/05","632","1","0.16","633","638","627","250220","157933989","45948891976","72703943"
"2019/12/04","631","-2","-0.32","633","639","628","254428","160886193","45876188033","72703943"
"2019/12/03","633","10","1.61","623","647","623","678130","430367079","46021595919","72703943"
"2019/12/02","623","1","0.16","622","631","616","124965","77816667","45294556489","72703943"
"2019/11/29","622","-6","-0.96","625","638","618","428969","268488548","45221852546","72703943"
"2019/11/28","628","5","0.80","624","636","621","543390","341461903","45658076204","72703943"
"2019/11/27","623","0","0.00","623","647","618","548097","344621092","45294556489","72703943"
"2019/11/26","623","2","0.32","625","627","614","247534","153860381","45294556489","72703943"
"2019/11/25","621","14","2.31","608","631","608","310505","191901280","45149148603","72703943"
"2019/11/22","607","-7","-1.14","610","622","604","398413","242914144","44131293401","72703943"
"2019/11/21","614","-12","-1.92","615","630","609","717452","442713752","44640221002","72703943"
"2019/11/20","626","-17","-2.64","643","665","615","2141658","1373332016","45512668318","72703943"
"2019/11/19","643","13","2.06","630","689","617","5238441","3368547017","46748635349","72703943"
"2019/11/18","630","-24","-3.67","643","658","609","4283751","2693072735","45803484090","72703943"
"2019/11/15","654","77","13.34","580","750","577","18387012","12413408353","47548378722","72703943"
"2019/11/14","577","-2","-0.35","580","583","561","354945","203333476","41950175111","72703943"
"2019/11/13","579","-5","-0.86","583","590","567","452226","260894610","42095582997","72703943"
"2019/11/12","584","-23","-3.79","598","611","576","841250","497512437","42459102712","72703943"
"2019/11/11","607","1","0.17","596","654","587","2559325","1568145565","44131293401","72703943"
"2019/11/08","606","58","10.58","548","640","548","6944712","4149680432","44058589458","72703943"
