일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","2030","5","0.25","2005","2035","2000","31722","64030450","6191500000","3050000"
"2019/12/27","2025","-5","-0.25","2000","2040","2000","2842","5737830","6176250000","3050000"
"2019/12/26","2030","-5","-0.25","2040","2040","2030","12507","25368860","6191500000","3050000"
"2019/12/24","2035","-5","-0.25","2040","2040","2010","19143","38629940","6206750000","3050000"
"2019/12/23","2040","10","0.49","2020","2080","2020","11909","24159995","6222000000","3050000"
"2019/12/20","2030","0","0.00","2010","2040","2010","7931","16137990","6191500000","3050000"
"2019/12/19","2030","-15","-0.73","2025","2040","2000","70646","142141640","6191500000","3050000"
"2019/12/18","2045","20","0.99","2035","2045","2020","61032","123953115","6237250000","3050000"
"2019/12/17","2025","-20","-0.98","2030","2045","2025","21379","43443145","6176250000","3050000"
"2019/12/16","2045","5","0.25","2030","2045","2025","35921","72990890","6237250000","3050000"
"2019/12/13","2040","15","0.74","2025","2040","2020","37190","75522040","6222000000","3050000"
"2019/12/12","2025","0","0.00","2005","2025","2005","44068","88698655","6176250000","3050000"
"2019/12/11","2025","0","0.00","2000","2025","2000","3074","6178635","6176250000","3050000"
"2019/12/10","2025","-5","-0.25","2010","2035","2010","3642","7363140","6176250000","3050000"
"2019/12/09","2030","10","0.50","2040","2040","2000","6206","12504110","6191500000","3050000"
"2019/12/06","2020","5","0.25","2030","2035","2015","7882","15904040","6161000000","3050000"
"2019/12/05","2015","-5","-0.25","2015","2020","2000","11362","22960905","6145750000","3050000"
"2019/12/04","2020","-25","-1.22","2040","2040","1970","143879","286592730","6161000000","3050000"
"2019/12/03","2045","5","0.25","2030","2050","2025","16879","34368710","6237250000","3050000"
"2019/12/02","2040","-5","-0.24","2060","2060","2040","10179","20811870","6222000000","3050000"
"2019/11/29","2045","-15","-0.73","2050","2060","2020","86848","177373680","6237250000","3050000"
"2019/11/28","2060","-5","-0.24","2060","2075","2040","65716","135264635","6283000000","3050000"
"2019/11/27","2065","15","0.73","2040","2070","2040","94956","195712115","6298250000","3050000"
"2019/11/26","2050","10","0.49","2040","2055","2040","18520","37888250","6252500000","3050000"
"2019/11/25","2040","0","0.00","2040","2045","2030","14377","29296065","6222000000","3050000"
"2019/11/22","2040","0","0.00","2065","2065","2025","27261","55555860","6222000000","3050000"
"2019/11/21","2040","-10","-0.49","2050","2240","2015","153951","322793455","6222000000","3050000"
"2019/11/20","2050","-10","-0.49","2065","2065","2030","18480","37774345","6252500000","3050000"
"2019/11/19","2060","0","0.00","2050","2060","2045","16612","34126580","6283000000","3050000"
"2019/11/18","2060","0","0.00","2055","2060","2040","31610","64749645","6283000000","3050000"
"2019/11/15","2060","0","0.00","2060","2065","2040","4990","10226825","6283000000","3050000"
"2019/11/14","2060","-35","-1.67","2095","2095","2030","33528","68609365","6283000000","3050000"
"2019/11/13","2095","20","0.96","2120","2120","2065","11559","23968205","6389750000","3050000"
"2019/11/12","2075","30","1.47","2045","2095","2030","13615","28282510","6328750000","3050000"
"2019/11/11","2045","-25","-1.21","2055","2070","2040","7479","15407500","6237250000","3050000"
"2019/11/08","2070","-25","-1.19","2095","2095","2020","42513","86649550","6313500000","3050000"
"2019/11/07","2095","0","0.00","2085","2105","2080","6015","12610920","6389750000","3050000"
