영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
쏘우-여섯번의 기회,2397,2010-01-07,18286500,0.7
더 로드,17073,2010-01-07,122211500,4.4
용서는 없다,50747,2010-01-07,374717500,13.6
극장판파워레인저 엔진포스VS 와일드스피릿,9169,2010-01-07,62595500,2.3
파라노말 액티비티,20881,2010-01-13,149683500,6.2
아스트로 보이-아톰의 귀환,9759,2010-01-13,62583500,2.6
아빠가 여자를 좋아해,15775,2010-01-14,109659500,4.3
웨딩드레스,11287,2010-01-14,77103000,3.1
주유소 습격사건 2,54064,2010-01-21,385891000,16.2
500일의 썸머,12130,2010-01-21,87713500,3.7
공주와 개구리,6878,2010-01-21,43981000,1.8
8인: 최후의 결사단,13801,2010-01-21,99519000,4.2
식객2 : 김치전쟁,39297,2010-01-28,275482000,9.8
하모니,97029,2010-01-28,675408500,24.0
꼬마 니콜라,15893,2010-01-28,105964000,3.8
들어는 봤니? 모건 부부,11996,2010-01-28,87197500,3.1
의형제,127542,2010-02-04,909000000,38.2
헤이트 발렌타인데이,1719,2010-02-04,12624500,0.5
공자 춘추전국시대,23192,2010-02-11,168295500,5.7
하늘에서 음식이 내린다면,17734,2010-02-11,145374500,5.0
울프맨,22045,2010-02-11,164138000,5.6
퍼시 잭슨과 번개 도둑,88942,2010-02-11,622041500,21.2
발렌타인 데이,12658,2010-02-11,93114500,3.2
원피스 극장판: 스트롱 월드,8098,2010-02-11,53484000,1.8
평행이론,48594,2010-02-18,347061500,14.2
하치 이야기,9422,2010-02-18,66209500,2.7
클로이,11601,2010-02-25,85068000,4.4
포스 카인드,16344,2010-02-25,115909500,6.0
러블리 본즈,19257,2010-02-25,136745000,7.1
엘라의 모험 2: 백설공주 길들이기,4038,2010-02-25,25952500,1.3
디어 존,15620,2010-03-04,111733000,8.1
이상한 나라의 앨리스,62730,2010-03-04,645794000,46.5
우리가 꿈꾸는 기적: 인빅터스,6131,2010-03-04,41522000,3.0
사랑은 너무 복잡해,12114,2010-03-11,84478000,7.6
대병소장,7341,2010-03-11,52773500,4.7
프롬 파리 위드 러브,25663,2010-03-11,186533000,16.8
사랑은 언제나 진행중,4390,2010-03-11,31121500,2.8
데이브레이커스,11898,2010-03-18,86460500,6.7
무법자,14733,2010-03-18,107903500,8.3
육혈포 강도단,32121,2010-03-18,221661000,17.1
셔터 아일랜드,47303,2010-03-18,339988500,26.3
비밀애,14932,2010-03-25,106468000,9.2
아마존의 눈물,5171,2010-03-25,35215500,3.0
솔로몬 케인,12646,2010-03-25,91898500,7.9
그린 존,35270,2010-03-25,252613000,21.7
타이탄,148355,2010-04-01,1232928000,69.3
폭풍전야,6216,2010-04-01,43857500,2.5
프로포즈 데이,6947,2010-04-08,49831500,4.9
집 나온 남자들,2504,2010-04-08,17541500,1.7
반가운 살인자,24304,2010-04-08,169889000,16.7
크레이지,10433,2010-04-08,76347500,7.5
블라인드 사이드,9692,2010-04-15,68747000,7.2
일라이,15923,2010-04-15,114259500,12.0
베스트셀러,26661,2010-04-15,192263500,20.1
바운티 헌터,4906,2010-04-15,35574000,3.7
작은 연못,2155,2010-04-15,15031000,1.6
킥 애스: 영웅의 탄생,13343,2010-04-22,97223500,9.5
허트 로커,14724,2010-04-22,103755500,10.2
친정엄마,22312,2010-04-22,152754000,15.0
구르믈 버서난 달처럼,40733,2010-04-28,303046500,23.8
아이언맨 2,248798,2010-04-29,1822957000,65.3
브라더스,15821,2010-05-05,121526000,1.5
대한민국 1%,40599,2010-05-05,293992500,3.6
하녀,153013,2010-05-13,1102302500,51.6
로빈 후드,73641,2010-05-13,525724500,24.6
시,5677,2010-05-13,39703000,1.9
나이트메어,13874,2010-05-20,102293500,4.3
드래곤 길들이기,51928,2010-05-20,559440000,23.6
