,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2015-07-30,1199,0.284,6264,0.396,1172021,0.452,0.403,3606583800,3606583800 ( 100.0% ),471801,471801 ( 100.0% ),3616111800,473052,1,058_미션임파서블 로그네이션.xlsx
1,2015-07-31,1174,0.272,6114,0.383,1150897,0.44,0.434,4034137128,427553328 ( 11.9% ),498924,27123 ( 5.7% ),7650248928,971976,1,058_미션임파서블 로그네이션.xlsx
2,2015-08-01,1202,0.278,6302,0.38,1162481,0.427,0.659,6213470156,2179333028 ( 54.0% ),766502,267578 ( 53.6% ),13863719084,1738478,1,058_미션임파서블 로그네이션.xlsx
3,2015-08-02,1189,0.273,6111,0.373,1134697,0.422,0.638,5873827100,-339643056 ( -5.5% ),724126,-42376 ( -5.5% ),19737546184,2462604,1,058_미션임파서블 로그네이션.xlsx
4,2015-08-03,1151,0.272,5965,0.373,1104113,0.421,0.413,3501244800,-2372582300 ( -40.4% ),455542,-268584 ( -37.1% ),23238790984,2918146,1,058_미션임파서블 로그네이션.xlsx
5,2015-08-04,1160,0.266,5830,0.366,1078786,0.413,0.362,2986924600,-514320200 ( -14.7% ),390866,-64676 ( -14.2% ),26225715584,3309012,1,058_미션임파서블 로그네이션.xlsx
6,2015-08-05,834,0.192,3964,0.248,692918,0.263,0.367,1958819900,-1028104700 ( -34.4% ),254325,-136541 ( -34.9% ),28184535484,3563337,3,058_미션임파서블 로그네이션.xlsx
7,2015-08-06,828,0.188,3915,0.244,673063,0.255,0.321,1666628700,-292191200 ( -14.9% ),215986,-38339 ( -15.1% ),29851164184,3779323,3,058_미션임파서블 로그네이션.xlsx
8,2015-08-07,809,0.178,3862,0.237,662995,0.247,0.353,1916063118,249434418 ( 15.0% ),234309,18323 ( 8.5% ),31767227302,4013632,3,058_미션임파서블 로그네이션.xlsx
9,2015-08-08,818,0.176,3777,0.228,639901,0.234,0.581,3054119305,1138056187 ( 59.4% ),371649,137340 ( 58.6% ),34821346607,4385281,3,058_미션임파서블 로그네이션.xlsx
10,2015-08-09,794,0.174,3652,0.224,618852,0.23,0.543,2747173500,-306945805 ( -10.1% ),336008,-35641 ( -9.6% ),37568520107,4721289,3,058_미션임파서블 로그네이션.xlsx
11,2015-08-10,759,0.175,3496,0.223,582439,0.225,0.211,943871100,-1803302400 ( -65.6% ),123005,-213003 ( -63.4% ),38512391207,4844294,3,058_미션임파서블 로그네이션.xlsx
12,2015-08-11,769,0.171,3407,0.217,558803,0.215,0.197,841427600,-102443500 ( -10.9% ),109911,-13094 ( -10.6% ),39353818807,4954205,3,058_미션임파서블 로그네이션.xlsx
13,2015-08-12,742,0.168,3374,0.214,549358,0.211,0.189,797886800,-43540800 ( -5.2% ),103811,-6100 ( -5.5% ),40151705607,5058016,3,058_미션임파서블 로그네이션.xlsx
14,2015-08-13,481,0.103,1930,0.119,276343,0.103,0.318,661595100,-136291700 ( -17.1% ),87809,-16002 ( -15.4% ),40813300707,5145825,3,058_미션임파서블 로그네이션.xlsx
15,2015-08-14,497,0.099,1919,0.114,270211,0.098,0.582,1254588600,592993500 ( 89.6% ),157394,69585 ( 79.2% ),42067889307,5303219,3,058_미션임파서블 로그네이션.xlsx
16,2015-08-15,499,0.096,1878,0.112,265719,0.096,0.654,1390227100,135638500 ( 10.8% ),173747,16353 ( 10.4% ),43458116407,5476966,3,058_미션임파서블 로그네이션.xlsx
17,2015-08-16,500,0.096,1834,0.112,261093,0.096,0.529,1105706700,-284520400 ( -20.5% ),138199,-35548 ( -20.5% ),44563823107,5615165,3,058_미션임파서블 로그네이션.xlsx
18,2015-08-17,459,0.102,1802,0.117,268066,0.105,0.202,409675600,-696031100 ( -62.9% ),54245,-83954 ( -60.7% ),44973498707,5669410,3,058_미션임파서블 로그네이션.xlsx
19,2015-08-18,460,0.1,1802,0.116,268102,0.105,0.182,366260200,-43415400 ( -10.6% ),48801,-5444 ( -10.0% ),45339758907,5718211,3,058_미션임파서블 로그네이션.xlsx
20,2015-08-19,455,0.099,1780,0.116,266905,0.105,0.163,328701200,-37559000 ( -10.3% ),43516,-5285 ( -10.8% ),45668460107,5761727,4,058_미션임파서블 로그네이션.xlsx
21,2015-08-20,333,0.07,846,0.053,117245,0.045,0.217,193135500,-135565700 ( -41.2% ),25431,-18085 ( -41.6% ),45861595607,5787158,6,058_미션임파서블 로그네이션.xlsx
22,2015-08-21,334,0.071,837,0.052,114473,0.043,0.274,255929900,62794400 ( 32.5% ),31397,5966 ( 23.5% ),46117525507,5818555,5,058_미션임파서블 로그네이션.xlsx
23,2015-08-22,354,0.071,818,0.049,109292,0.04,0.483,432165300,176235400 ( 68.9% ),52839,21442 ( 68.3% ),46549690807,5871394,5,058_미션임파서블 로그네이션.xlsx
24,2015-08-23,356,0.072,811,0.05,109387,0.041,0.467,416439700,-15725600 ( -3.6% ),51079,-1760 ( -3.3% ),46966130507,5922473,7,058_미션임파서블 로그네이션.xlsx
25,2015-08-24,327,0.073,818,0.054,115610,0.046,0.165,144939400,-271500300 ( -65.2% ),19050,-32029 ( -62.7% ),47111069907,5941523,5,058_미션임파서블 로그네이션.xlsx
26,2015-08-25,340,0.074,819,0.055,115956,0.047,0.184,162127200,17187800 ( 11.9% ),21301,2251 ( 11.8% ),47273197107,5962824,5,058_미션임파서블 로그네이션.xlsx
27,2015-08-26,354,0.076,853,0.057,120947,0.049,0.209,163427700,1300500 ( 0.8% ),25237,3936 ( 18.5% ),47436624807,5988061,5,058_미션임파서블 로그네이션.xlsx
28,2015-08-27,234,0.052,544,0.035,77848,0.031,0.155,92105600,-71322100 ( -43.6% ),12044,-13193 ( -52.3% ),47528730407,6000105,7,058_미션임파서블 로그네이션.xlsx
29,2015-08-28,241,0.053,551,0.035,78913,0.03,0.199,129182600,37077000 ( 40.3% ),15711,3667 ( 30.4% ),47657913007,6015816,7,058_미션임파서블 로그네이션.xlsx
30,2015-08-29,252,0.051,550,0.034,74790,0.028,0.423,260344200,131161600 ( 101.5% ),31647,15936 ( 101.4% ),47918257207,6047463,7,058_미션임파서블 로그네이션.xlsx
31,2015-08-30,248,0.051,531,0.033,72739,0.028,0.392,232413200,-27931000 ( -10.7% ),28486,-3161 ( -10.0% ),48150670407,6075949,8,058_미션임파서블 로그네이션.xlsx
32,2015-08-31,232,0.054,536,0.036,78181,0.032,0.132,78386000,-154027200 ( -66.3% ),10337,-18149 ( -63.7% ),48229056407,6086286,7,058_미션임파서블 로그네이션.xlsx
33,2015-09-01,232,0.053,534,0.036,77920,0.032,0.108,63469700,-14916300 ( -19.0% ),8392,-1945 ( -18.8% ),48292526107,6094678,7,058_미션임파서블 로그네이션.xlsx
34,2015-09-02,235,0.054,536,0.037,79550,0.033,0.106,62965900,-503800 ( -0.8% ),8403,11 ( 0.1% ),48355492007,6103081,7,058_미션임파서블 로그네이션.xlsx
35,2015-09-03,94,0.02,127,0.008,17755,0.007,0.105,14558700,-48407200 ( -76.9% ),1873,-6530 ( -77.7% ),48370050707,6104954,16,058_미션임파서블 로그네이션.xlsx
36,2015-09-04,97,0.021,128,0.008,18012,0.007,0.139,21023100,6464400 ( 44.4% ),2501,628 ( 33.5% ),48391073807,6107455,13,058_미션임파서블 로그네이션.xlsx
37,2015-09-05,87,0.017,125,0.008,16363,0.006,0.337,46951800,25928700 ( 123.3% ),5512,3011 ( 120.4% ),48438025607,6112967,12,058_미션임파서블 로그네이션.xlsx
38,2015-09-06,85,0.017,119,0.007,15818,0.006,0.285,37623900,-9327900 ( -19.9% ),4505,-1007 ( -18.3% ),48475649507,6117472,14,058_미션임파서블 로그네이션.xlsx
39,2015-09-07,91,0.02,120,0.008,16916,0.007,0.088,11563500,-26060400 ( -69.3% ),1487,-3018 ( -67.0% ),48487213007,6118959,14,058_미션임파서블 로그네이션.xlsx
